CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,100090375202600011,202600011,2026-03-26,1276,375,1,1,1,1,3,17,2026-03-26T00:00:00,2026-03-27T13:00:00,2026-03-26T00:00:00,17.118724,76.525108,Case registered at Chikkamagaluru PS 1 regarding murder. Investigation ongoing under IO Kashvi.
12,100120508202300012,202300012,2023-06-17,69,508,1,2,2,4,2,23,2023-06-17T00:00:00,2023-06-18T20:00:00,2023-06-17T00:00:00,12.751713,78.403541,Case registered at Davanagere PS 19 regarding theft. Investigation ongoing under IO Nitesh.
13,100220861202400013,202400013,2024-06-06,470,861,1,2,4,11,2,43,2024-06-06T00:00:00,2024-06-07T13:00:00,2024-06-06T00:00:00,16.678142,77.17998,Case registered at Mysuru PS 54 regarding gambling. Investigation ongoing under IO Charvi.
14,100050227202300014,202300014,2023-01-29,603,227,1,2,3,8,3,9,2023-01-29T00:00:00,2023-01-30T03:00:00,2023-01-29T00:00:00,17.507848,75.495513,Case registered at Bengaluru Urban PS 55 regarding domestic violence. Investigation ongoing under IO Wriddhish.
15,100030123202500015,202500015,2025-07-28,453,123,1,2,2,7,3,5,2025-07-28T00:00:00,2025-07-28T01:00:00,2025-07-28T00:00:00,13.527434,74.814476,Case registered at Belagavi PS 37 regarding vehicle theft. Investigation ongoing under IO Neel.
16,100291044202300016,202300016,2023-10-24,2139,1044,1,2,6,16,1,57,2023-10-24T00:00:00,2023-10-24T20:00:00,2023-10-24T00:00:00,13.448322,77.028152,Case registered at Vijayapura PS 6 regarding identity theft. Investigation ongoing under IO Devansh.
17,100170671202600017,202600017,2026-02-08,768,671,1,2,3,8,1,34,2026-02-08T00:00:00,2026-02-09T21:00:00,2026-02-08T00:00:00,16.501989,75.954304,Case registered at Kalaburagi PS 37 regarding domestic violence. Investigation ongoing under IO Shaurya.
18,100020034202300018,202300018,2023-06-06,1683,34,1,2,2,5,3,3,2023-06-06T00:00:00,2023-06-08T00:00:00,2023-06-06T00:00:00,14.776164,76.460911,Case registered at Ballari PS 5 regarding robbery. Investigation ongoing under IO Oeshi.
19,100240922202400019,202400019,2024-03-04,384,922,1,2,2,4,3,47,2024-03-04T00:00:00,2024-03-05T11:00:00,2024-03-04T00:00:00,11.90036,77.169385,Case registered at Ramanagara PS 29 regarding theft. Investigation ongoing under IO Chandran.
20,100140564202400020,202400020,2024-01-30,186,564,1,2,2,5,3,27,2024-01-30T00:00:00,2024-01-30T19:00:00,2024-01-30T00:00:00,17.225487,74.909165,Case registered at Gadag PS 17 regarding robbery. Investigation ongoing under IO Kamala.
21,100050223202300021,202300021,2023-06-23,630,223,2,2,2,4,2,10,2023-06-23T00:00:00,2023-06-23T18:00:00,2023-06-23T00:00:00,13.158948,77.737958,Case registered at Bengaluru Urban PS 51 regarding theft. Investigation ongoing under IO Damyanti.
22,100050260202300022,202300022,2023-04-21,2295,260,1,2,6,15,2,9,2023-04-21T00:00:00,2023-04-21T15:00:00,2023-04-21T00:00:00,11.959256,74.827046,Case registered at Bengaluru Urban PS 88 regarding online fraud. Investigation ongoing under IO Gabriel.
23,100271005202400023,202400023,2024-02-25,2122,1005,1,2,2,4,1,54,2024-02-25T00:00:00,2024-02-26T11:00:00,2024-02-25T00:00:00,12.08576,77.316231,Case registered at Udupi PS 25 regarding theft. Investigation ongoing under IO Tanay.
24,100040167202300024,202300024,2023-06-19,1799,167,1,2,4,11,3,8,2023-06-19T00:00:00,2023-06-20T15:00:00,2023-06-19T00:00:00,11.989284,76.901892,Case registered at Bengaluru Rural PS 24 regarding gambling. Investigation ongoing under IO Sanya.
25,100080360202400025,202400025,2024-08-14,166,360,1,1,1,2,2,16,2024-08-14T00:00:00,2024-08-14T01:00:00,2024-08-14T00:00:00,11.778509,76.756374,Case registered at Chikkaballapur PS 15 regarding attempt to murder. Investigation ongoing under IO Fiyaz.
26,100200750202400026,202400026,2024-09-27,172,750,3,2,5,14,2,39,2024-09-27T00:00:00,2024-09-27T14:00:00,2024-09-27T00:00:00,15.850115,74.243969,Case registered at Koppal PS 1 regarding criminal breach of trust. Investigation ongoing under IO Inaya.
27,100010011202400027,202400027,2024-06-19,1941,11,1,1,3,10,2,1,2024-06-19T00:00:00,2024-06-19T13:00:00,2024-06-19T00:00:00,15.106511,75.739204,Case registered at Bagalkot PS 11 regarding sexual assault. Investigation ongoing under IO Jeevika.
28,100250947202300028,202300028,2023-03-25,1453,947,3,1,3,10,4,50,2023-03-25T00:00:00,2023-03-25T03:00:00,2023-03-25T00:00:00,16.752074,77.984858,Case registered at Shivamogga PS 25 regarding sexual assault. Investigation ongoing under IO Dayamai.
29,100291051202600029,202600029,2026-03-25,926,1051,4,2,5,13,3,58,2026-03-25T00:00:00,2026-03-26T10:00:00,2026-03-25T00:00:00,13.241815,77.208068,Case registered at Vijayapura PS 13 regarding cheating. Investigation ongoing under IO Aditya.
30,100090398202500030,202500030,2025-12-13,909,398,1,1,3,10,3,17,2025-12-13T00:00:00,2025-12-14T06:00:00,2025-12-13T00:00:00,12.212392,77.272005,Case registered at Chikkamagaluru PS 24 regarding sexual assault. Investigation ongoing under IO Chaitanya.
31,100040158202300031,202300031,2023-06-21,1342,158,3,2,5,14,4,7,2023-06-21T00:00:00,2023-06-22T03:00:00,2023-06-21T00:00:00,14.739649,76.303144,Case registered at Bengaluru Rural PS 15 regarding criminal breach of trust. Investigation ongoing under IO Oni.
32,100010027202400032,202400032,2024-05-15,2038,27,1,2,3,9,1,2,2024-05-15T00:00:00,2024-05-16T23:00:00,2024-05-15T00:00:00,17.196678,76.741932,Case registered at Bagalkot PS 27 regarding dowry harassment. Investigation ongoing under IO Zehaan.
33,100080350202300033,202300033,2023-11-19,302,350,3,2,5,13,1,16,2023-11-19T00:00:00,2023-11-19T06:00:00,2023-11-19T00:00:00,13.879301,75.924037,Case registered at Chikkaballapur PS 5 regarding cheating. Investigation ongoing under IO Chakrika.
34,100020037202300034,202300034,2023-03-28,1480,37,3,2,1,3,2,3,2023-03-28T00:00:00,2023-03-29T01:00:00,2023-03-28T00:00:00,17.163572,77.508586,Case registered at Ballari PS 8 regarding grievous hurt. Investigation ongoing under IO Matthew.
35,100301075202400035,202400035,2024-06-24,2272,1075,1,1,1,1,1,60,2024-06-24T00:00:00,2024-06-24T16:00:00,2024-06-24T00:00:00,16.905654,75.576003,Case registered at Yadgir PS 8 regarding murder. Investigation ongoing under IO Avi.
36,100030098202500036,202500036,2025-11-05,1186,98,1,2,5,13,1,5,2025-11-05T00:00:00,2025-11-06T05:00:00,2025-11-05T00:00:00,17.957739,77.287403,Case registered at Belagavi PS 12 regarding cheating. Investigation ongoing under IO Chatura.
37,100090399202300037,202300037,2023-12-25,914,399,3,2,1,1,1,17,2023-12-25T00:00:00,2023-12-26T13:00:00,2023-12-25T00:00:00,16.878628,75.977423,Case registered at Chikkamagaluru PS 25 regarding murder. Investigation ongoing under IO Ekaja.
38,100020036202400038,202400038,2024-08-06,483,36,3,2,3,9,4,4,2024-08-06T00:00:00,2024-08-06T10:00:00,2024-08-06T00:00:00,13.92111,76.52656,Case registered at Ballari PS 7 regarding dowry harassment. Investigation ongoing under IO Hamsini.
39,100170643202600039,202600039,2026-03-16,1094,643,1,2,1,2,2,33,2026-03-16T00:00:00,2026-03-16T20:00:00,2026-03-16T00:00:00,13.236085,77.662904,Case registered at Kalaburagi PS 9 regarding attempt to murder. Investigation ongoing under IO Aashi.
40,100030113202300040,202300040,2023-08-28,308,113,3,2,4,11,1,5,2023-08-28T00:00:00,2023-08-28T02:00:00,2023-08-28T00:00:00,17.137334,75.540269,Case registered at Belagavi PS 27 regarding gambling. Investigation ongoing under IO Laksh.
41,100030104202500041,202500041,2025-01-24,2029,104,1,1,3,9,2,6,2025-01-24T00:00:00,2025-01-25T05:00:00,2025-01-24T00:00:00,14.257018,74.267637,Case registered at Belagavi PS 18 regarding dowry harassment. Investigation ongoing under IO Varsha.
42,100080351202400042,202400042,2024-02-19,1914,351,1,2,4,11,2,15,2024-02-19T00:00:00,2024-02-19T11:00:00,2024-02-19T00:00:00,14.756934,74.942618,Case registered at Chikkaballapur PS 6 regarding gambling. Investigation ongoing under IO Hemal.
43,100311117202400043,202400043,2024-08-30,691,1117,1,2,5,13,3,62,2024-08-30T00:00:00,2024-08-30T19:00:00,2024-08-30T00:00:00,11.924942,77.974965,Case registered at Vijayanagara PS 21 regarding cheating. Investigation ongoing under IO Barkha.
44,100311099202400044,202400044,2024-01-09,2128,1099,1,2,2,6,4,62,2024-01-09T00:00:00,2024-01-11T00:00:00,2024-01-09T00:00:00,12.767013,76.512175,Case registered at Vijayanagara PS 3 regarding burglary. Investigation ongoing under IO Devansh.
45,100250929202500045,202500045,2025-09-06,967,929,2,2,4,12,4,49,2025-09-06T00:00:00,2025-09-06T01:00:00,2025-09-06T00:00:00,17.448687,74.071124,Case registered at Shivamogga PS 7 regarding public nuisance. Investigation ongoing under IO Anirudh.
46,100220830202600046,202600046,2026-03-12,714,830,1,2,1,3,1,43,2026-03-12T00:00:00,2026-03-13T06:00:00,2026-03-12T00:00:00,13.826269,75.83048,Case registered at Mysuru PS 23 regarding grievous hurt. Investigation ongoing under IO Manthan.
47,100120514202500047,202500047,2025-11-05,1222,514,4,2,6,15,3,24,2025-11-05T00:00:00,2025-11-06T12:00:00,2025-11-05T00:00:00,17.353722,76.804758,Case registered at Davanagere PS 25 regarding online fraud. Investigation ongoing under IO David.
48,100030131202600048,202600048,2026-07-09,2180,131,1,2,4,12,2,5,2026-07-09T00:00:00,2026-07-10T04:00:00,2026-07-09T00:00:00,17.427762,76.643127,Case registered at Belagavi PS 45 regarding public nuisance. Investigation ongoing under IO Krishna.
49,100200756202300049,202300049,2023-04-17,1477,756,1,2,1,3,3,40,2023-04-17T00:00:00,2023-04-18T20:00:00,2023-04-17T00:00:00,14.190386,76.84988,Case registered at Koppal PS 7 regarding grievous hurt. Investigation ongoing under IO Chandran.
50,100140552202500050,202500050,2025-03-12,2238,552,3,2,2,5,4,27,2025-03-12T00:00:00,2025-03-12T06:00:00,2025-03-12T00:00:00,13.913265,74.756339,Case registered at Gadag PS 5 regarding robbery. Investigation ongoing under IO Mohini.
51,100281034202300051,202300051,2023-08-06,1499,1034,1,2,4,12,1,56,2023-08-06T00:00:00,2023-08-07T12:00:00,2023-08-06T00:00:00,15.128758,78.398791,Case registered at Uttara Kannada PS 25 regarding public nuisance. Investigation ongoing under IO Vaishnavi.
52,100270992202300052,202300052,2023-12-04,2384,992,1,2,5,14,1,53,2023-12-04T00:00:00,2023-12-05T02:00:00,2023-12-04T00:00:00,12.184869,75.675429,Case registered at Udupi PS 12 regarding criminal breach of trust. Investigation ongoing under IO Vamakshi.
53,100050200202400053,202400053,2024-05-02,188,200,2,2,4,12,1,10,2024-05-02T00:00:00,2024-05-03T18:00:00,2024-05-02T00:00:00,18.078568,74.688558,Case registered at Bengaluru Urban PS 28 regarding public nuisance. Investigation ongoing under IO Hitesh.
54,100050270202500054,202500054,2025-09-05,2107,270,1,1,3,8,2,10,2025-09-05T00:00:00,2025-09-05T22:00:00,2025-09-05T00:00:00,14.334917,78.094852,Case registered at Bengaluru Urban PS 98 regarding domestic violence. Investigation ongoing under IO Gayathri.
55,100050264202400055,202400055,2024-09-15,1754,264,4,2,1,1,4,9,2024-09-15T00:00:00,2024-09-15T03:00:00,2024-09-15T00:00:00,12.525652,77.91466,Case registered at Bengaluru Urban PS 92 regarding murder. Investigation ongoing under IO Aadi.
56,100150582202400056,202400056,2024-09-13,1581,582,1,2,5,14,2,30,2024-09-13T00:00:00,2024-09-14T21:00:00,2024-09-13T00:00:00,12.579692,78.430238,Case registered at Hassan PS 6 regarding criminal breach of trust. Investigation ongoing under IO Manbir.
57,100090390202300057,202300057,2023-05-09,30,390,1,2,5,13,2,17,2023-05-09T00:00:00,2023-05-09T06:00:00,2023-05-09T00:00:00,12.001095,77.396164,Case registered at Chikkamagaluru PS 16 regarding cheating. Investigation ongoing under IO Nathaniel.
58,100020067202400058,202400058,2024-10-28,1858,67,1,2,1,3,2,3,2024-10-28T00:00:00,2024-10-29T12:00:00,2024-10-28T00:00:00,16.560983,75.80548,Case registered at Ballari PS 38 regarding grievous hurt. Investigation ongoing under IO William.
59,100170668202400059,202400059,2024-01-08,1688,668,1,2,5,13,3,33,2024-01-08T00:00:00,2024-01-09T19:00:00,2024-01-08T00:00:00,16.583075,77.677254,Case registered at Kalaburagi PS 34 regarding cheating. Investigation ongoing under IO Meghana.
60,100110449202300060,202300060,2023-11-27,2339,449,3,2,3,8,1,22,2023-11-27T00:00:00,2023-11-28T08:00:00,2023-11-27T00:00:00,15.527741,78.384156,Case registered at Dakshina Kannada PS 17 regarding domestic violence. Investigation ongoing under IO Tanay.
61,100050231202400061,202400061,2024-03-14,2287,231,1,2,3,8,4,9,2024-03-14T00:00:00,2024-03-15T20:00:00,2024-03-14T00:00:00,12.488545,74.129161,Case registered at Bengaluru Urban PS 59 regarding domestic violence. Investigation ongoing under IO Idika.
62,100190732202400062,202400062,2024-01-14,250,732,1,2,5,14,3,37,2024-01-14T00:00:00,2024-01-14T20:00:00,2024-01-14T00:00:00,12.973567,75.279399,Case registered at Kolar PS 12 regarding criminal breach of trust. Investigation ongoing under IO Ekiya.
63,100020050202300063,202300063,2023-07-09,2095,50,1,2,4,12,1,3,2023-07-09T00:00:00,2023-07-10T07:00:00,2023-07-09T00:00:00,17.79925,76.652126,Case registered at Ballari PS 21 regarding public nuisance. Investigation ongoing under IO Avi.
64,100050183202300064,202300064,2023-08-26,531,183,1,2,4,11,4,9,2023-08-26T00:00:00,2023-08-27T05:00:00,2023-08-26T00:00:00,12.422506,77.319685,Case registered at Bengaluru Urban PS 11 regarding gambling. Investigation ongoing under IO Yadavi.
65,100160618202500065,202500065,2025-12-02,1166,618,1,1,3,8,1,32,2025-12-02T00:00:00,2025-12-02T22:00:00,2025-12-02T00:00:00,15.852369,74.646812,Case registered at Haveri PS 13 regarding domestic violence. Investigation ongoing under IO Nisha.
66,100281017202300066,202300066,2023-02-04,486,1017,2,2,2,7,1,55,2023-02-04T00:00:00,2023-02-04T21:00:00,2023-02-04T00:00:00,14.482262,75.651474,Case registered at Uttara Kannada PS 8 regarding vehicle theft. Investigation ongoing under IO Tanvi.
67,100030111202500067,202500067,2025-05-15,1964,111,1,2,5,13,1,6,2025-05-15T00:00:00,2025-05-16T16:00:00,2025-05-15T00:00:00,13.489929,74.765218,Case registered at Belagavi PS 25 regarding cheating. Investigation ongoing under IO Veda.
68,100010016202400068,202400068,2024-03-30,511,16,2,1,3,8,1,2,2024-03-30T00:00:00,2024-03-31T08:00:00,2024-03-30T00:00:00,17.774267,75.865484,Case registered at Bagalkot PS 16 regarding domestic violence. Investigation ongoing under IO Arya.
69,100050252202300069,202300069,2023-03-21,2269,252,1,2,6,16,1,10,2023-03-21T00:00:00,2023-03-21T06:00:00,2023-03-21T00:00:00,14.310741,77.511844,Case registered at Bengaluru Urban PS 80 regarding identity theft. Investigation ongoing under IO Megha.
70,100030125202500070,202500070,2025-08-07,1674,125,1,2,5,13,2,5,2025-08-07T00:00:00,2025-08-07T22:00:00,2025-08-07T00:00:00,11.966405,77.278058,Case registered at Belagavi PS 39 regarding cheating. Investigation ongoing under IO Gagan.
71,100190728202500071,202500071,2025-07-04,2033,728,1,2,4,12,1,37,2025-07-04T00:00:00,2025-07-05T19:00:00,2025-07-04T00:00:00,15.416553,75.535308,Case registered at Kolar PS 8 regarding public nuisance. Investigation ongoing under IO Lucky.
72,100220826202500072,202500072,2025-04-29,103,826,1,2,3,9,3,43,2025-04-29T00:00:00,2025-04-30T19:00:00,2025-04-29T00:00:00,11.943927,76.707166,Case registered at Mysuru PS 19 regarding dowry harassment. Investigation ongoing under IO Janya.
73,100281018202500073,202500073,2025-03-19,917,1018,2,2,5,14,2,55,2025-03-19T00:00:00,2025-03-19T08:00:00,2025-03-19T00:00:00,14.750085,76.01948,Case registered at Uttara Kannada PS 9 regarding criminal breach of trust. Investigation ongoing under IO Chakradhar.
74,100170661202500074,202500074,2025-06-13,2388,661,1,2,6,16,2,33,2025-06-13T00:00:00,2025-06-13T01:00:00,2025-06-13T00:00:00,18.37056,76.051913,Case registered at Kalaburagi PS 27 regarding identity theft. Investigation ongoing under IO Ekani.
75,100020057202600075,202600075,2026-07-15,390,57,3,2,6,16,3,3,2026-07-15T00:00:00,2026-07-16T16:00:00,2026-07-15T00:00:00,13.199433,77.147992,Case registered at Ballari PS 28 regarding identity theft. Investigation ongoing under IO Abhimanyu.
76,100301069202500076,202500076,2025-11-16,2077,1069,2,2,2,7,2,59,2025-11-16T00:00:00,2025-11-16T02:00:00,2025-11-16T00:00:00,15.265878,74.283887,Case registered at Yadgir PS 2 regarding vehicle theft. Investigation ongoing under IO Michael.
77,100281024202600077,202600077,2026-04-24,2293,1024,1,2,2,7,4,55,2026-04-24T00:00:00,2026-04-25T14:00:00,2026-04-24T00:00:00,14.750842,77.45992,Case registered at Uttara Kannada PS 15 regarding vehicle theft. Investigation ongoing under IO Jagvi.
78,100080363202500078,202500078,2025-09-25,1366,363,1,2,6,15,3,16,2025-09-25T00:00:00,2025-09-26T14:00:00,2025-09-25T00:00:00,12.32766,78.282647,Case registered at Chikkaballapur PS 18 regarding online fraud. Investigation ongoing under IO Charles.
79,100050210202500079,202500079,2025-03-01,1666,210,1,2,3,10,1,9,2025-03-01T00:00:00,2025-03-01T15:00:00,2025-03-01T00:00:00,11.602334,78.451242,Case registered at Bengaluru Urban PS 38 regarding sexual assault. Investigation ongoing under IO Peter.
80,100050232202600080,202600080,2026-04-16,1466,232,3,2,6,15,3,9,2026-04-16T00:00:00,2026-04-17T22:00:00,2026-04-16T00:00:00,18.390337,78.016411,Case registered at Bengaluru Urban PS 60 regarding online fraud. Investigation ongoing under IO Vansha.
81,100230879202400081,202400081,2024-10-13,1121,879,1,2,2,6,1,46,2024-10-13T00:00:00,2024-10-15T00:00:00,2024-10-13T00:00:00,14.33404,74.290626,Case registered at Raichur PS 15 regarding burglary. Investigation ongoing under IO Yuvraj.
82,100291059202300082,202300082,2023-08-03,1616,1059,2,1,3,10,2,58,2023-08-03T00:00:00,2023-08-04T11:00:00,2023-08-03T00:00:00,15.312222,76.835754,Case registered at Vijayapura PS 21 regarding sexual assault. Investigation ongoing under IO Odika.
83,100120505202500083,202500083,2025-02-20,1944,505,3,1,1,2,1,23,2025-02-20T00:00:00,2025-02-21T12:00:00,2025-02-20T00:00:00,13.144071,76.74163,Case registered at Davanagere PS 16 regarding attempt to murder. Investigation ongoing under IO Ishaan.
84,100160617202300084,202300084,2023-10-06,733,617,1,2,5,14,1,32,2023-10-06T00:00:00,2023-10-06T18:00:00,2023-10-06T00:00:00,18.390752,77.139079,Case registered at Haveri PS 12 regarding criminal breach of trust. Investigation ongoing under IO Farhan.
85,100090394202500085,202500085,2025-11-03,1514,394,3,1,1,2,1,18,2025-11-03T00:00:00,2025-11-04T17:00:00,2025-11-03T00:00:00,17.556022,77.603084,Case registered at Chikkamagaluru PS 20 regarding attempt to murder. Investigation ongoing under IO Januja.
86,100230877202500086,202500086,2025-09-06,1644,877,1,2,4,12,1,46,2025-09-06T00:00:00,2025-09-06T07:00:00,2025-09-06T00:00:00,15.770257,75.79466,Case registered at Raichur PS 13 regarding public nuisance. Investigation ongoing under IO Saksham.
87,100140560202500087,202500087,2025-07-02,1078,560,1,2,6,16,3,28,2025-07-02T00:00:00,2025-07-02T11:00:00,2025-07-02T00:00:00,12.11775,77.360056,Case registered at Gadag PS 13 regarding identity theft. Investigation ongoing under IO Anmol.
88,100140550202300088,202300088,2023-04-07,1252,550,1,2,4,12,3,28,2023-04-07T00:00:00,2023-04-07T10:00:00,2023-04-07T00:00:00,16.035008,75.55728,Case registered at Gadag PS 3 regarding public nuisance. Investigation ongoing under IO Ishaan.
89,100311104202500089,202500089,2025-02-16,52,1104,1,1,1,2,3,61,2025-02-16T00:00:00,2025-02-17T01:00:00,2025-02-16T00:00:00,17.048134,74.309449,Case registered at Vijayanagara PS 8 regarding attempt to murder. Investigation ongoing under IO Thomas.
90,100160626202300090,202300090,2023-01-25,2109,626,1,2,6,15,1,32,2023-01-25T00:00:00,2023-01-26T09:00:00,2023-01-25T00:00:00,14.595683,76.32372,Case registered at Haveri PS 21 regarding online fraud. Investigation ongoing under IO Rajata.
91,100170657202400091,202400091,2024-05-08,2058,657,1,2,1,1,2,34,2024-05-08T00:00:00,2024-05-09T16:00:00,2024-05-08T00:00:00,17.544108,77.382569,Case registered at Kalaburagi PS 23 regarding murder. Investigation ongoing under IO Sachi.
92,100210781202400092,202400092,2024-06-01,2281,781,1,2,2,5,2,42,2024-06-01T00:00:00,2024-06-02T13:00:00,2024-06-01T00:00:00,12.706591,75.083143,Case registered at Mandya PS 3 regarding robbery. Investigation ongoing under IO Bina.
93,100301070202500093,202500093,2025-03-01,186,1070,1,2,4,11,4,60,2025-03-01T00:00:00,2025-03-02T12:00:00,2025-03-01T00:00:00,16.461088,74.559832,Case registered at Yadgir PS 3 regarding gambling. Investigation ongoing under IO Kamala.
94,100270989202400094,202400094,2024-07-19,799,989,1,2,5,13,1,54,2024-07-19T00:00:00,2024-07-20T20:00:00,2024-07-19T00:00:00,17.491211,76.708027,Case registered at Udupi PS 9 regarding cheating. Investigation ongoing under IO Rachit.
95,100200760202400095,202400095,2024-09-04,921,760,3,2,6,15,4,39,2024-09-04T00:00:00,2024-09-04T07:00:00,2024-09-04T00:00:00,17.092787,76.491608,Case registered at Koppal PS 11 regarding online fraud. Investigation ongoing under IO Daksha.
96,100301082202400096,202400096,2024-04-24,1936,1082,1,2,5,13,2,60,2024-04-24T00:00:00,2024-04-24T02:00:00,2024-04-24T00:00:00,16.914807,74.33418,Case registered at Yadgir PS 15 regarding cheating. Investigation ongoing under IO Anamika.
97,100200755202300097,202300097,2023-10-13,1375,755,3,2,4,12,2,39,2023-10-13T00:00:00,2023-10-14T22:00:00,2023-10-13T00:00:00,14.73188,76.101824,Case registered at Koppal PS 6 regarding public nuisance. Investigation ongoing under IO Yashvi.
98,100200751202400098,202400098,2024-06-29,1203,751,3,1,1,3,2,39,2024-06-29T00:00:00,2024-06-29T09:00:00,2024-06-29T00:00:00,13.768931,77.585711,Case registered at Koppal PS 2 regarding grievous hurt. Investigation ongoing under IO Kabir.
99,100050279202400099,202400099,2024-07-24,2061,279,3,2,4,11,1,10,2024-07-24T00:00:00,2024-07-24T18:00:00,2024-07-24T00:00:00,17.634484,78.073203,Case registered at Bengaluru Urban PS 107 regarding gambling. Investigation ongoing under IO Agastya.
100,100080365202500100,202500100,2025-08-07,762,365,3,1,1,3,2,15,2025-08-07T00:00:00,2025-08-08T05:00:00,2025-08-07T00:00:00,16.658304,75.046099,Case registered at Chikkaballapur PS 20 regarding grievous hurt. Investigation ongoing under IO Mitali.
101,100170671202400101,202400101,2024-08-23,2325,671,1,2,6,15,2,34,2024-08-23T00:00:00,2024-08-24T03:00:00,2024-08-23T00:00:00,15.633067,76.636188,Case registered at Kalaburagi PS 37 regarding online fraud. Investigation ongoing under IO Advaith.
102,100170681202300102,202300102,2023-04-03,909,681,1,2,5,14,3,33,2023-04-03T00:00:00,2023-04-04T23:00:00,2023-04-03T00:00:00,14.78425,75.365142,Case registered at Kalaburagi PS 47 regarding criminal breach of trust. Investigation ongoing under IO Chaitanya.
103,100160611202500103,202500103,2025-04-11,1356,611,3,2,5,13,1,32,2025-04-11T00:00:00,2025-04-12T22:00:00,2025-04-11T00:00:00,17.15087,78.264255,Case registered at Haveri PS 6 regarding cheating. Investigation ongoing under IO Pooja.
104,100170665202300104,202300104,2023-08-08,113,665,1,2,6,16,3,33,2023-08-08T00:00:00,2023-08-08T06:00:00,2023-08-08T00:00:00,17.648486,74.458757,Case registered at Kalaburagi PS 31 regarding identity theft. Investigation ongoing under IO Triveni.
105,100040170202300105,202300105,2023-10-04,244,170,1,1,3,10,1,8,2023-10-04T00:00:00,2023-10-04T04:00:00,2023-10-04T00:00:00,16.764917,77.218326,Case registered at Bengaluru Rural PS 27 regarding sexual assault. Investigation ongoing under IO Arunima.
106,100030135202300106,202300106,2023-04-09,886,135,1,2,4,12,4,5,2023-04-09T00:00:00,2023-04-09T08:00:00,2023-04-09T00:00:00,12.982191,78.127407,Case registered at Belagavi PS 49 regarding public nuisance. Investigation ongoing under IO Anay.
107,100120499202500107,202500107,2025-02-04,1589,499,1,1,3,8,1,23,2025-02-04T00:00:00,2025-02-05T13:00:00,2025-02-04T00:00:00,14.371388,76.239707,Case registered at Davanagere PS 10 regarding domestic violence. Investigation ongoing under IO Sai.
