ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
118,118,Oeshi Khurana,61,2,6,5,2
119,119,Mahika Hans,70,1,6,2,1
120,120,Manya Lad,67,7,1,4,1
121,121,Rachit Khatri,55,2,3,2,2
122,122,Tripti Das,25,8,5,3,1
123,123,Anthony Sachdev,70,1,6,5,2
124,124,Nathan Vig,26,2,3,2,2
125,125,Jonathan Loyal,58,8,2,3,1
126,126,Harshil Muni,43,2,1,5,2
127,127,Oliver Bandi,46,5,2,2,1
128,128,Quincy Parmar,33,8,2,1,1
129,129,Udyati Nagy,32,8,6,3,2
130,130,Ekaja Hora,64,7,5,2,2
131,131,Onveer Narain,57,7,4,5,2
132,132,Geetika Babu,58,4,6,5,2
133,133,Hiral Ratta,49,7,3,3,2
134,134,Champak Anne,39,1,1,4,1
135,135,Indrajit Bava,41,6,1,2,1
136,136,Wridesh Sridhar,66,4,6,3,2
137,137,Upadhriti Rajan,48,1,4,3,2
138,138,Mugdha Guha,43,6,5,5,2
139,139,Rachit Loke,31,5,2,2,2
140,140,Simon Dora,38,3,5,3,2
141,141,Zilmil Sant,57,4,1,2,1
142,142,Balendra Lata,27,8,5,5,2
143,143,Idika Mani,60,3,3,1,2
144,144,Agastya Som,27,6,5,1,1
145,145,Aditya Pandey,68,3,1,2,1
146,146,Gautami Sethi,49,2,2,2,1
147,147,Isaiah Madan,62,4,2,3,2
148,148,Alka Palla,38,7,2,3,1
149,149,Bhavya Choudhary,62,7,2,4,1
150,150,Teerth Mandal,23,3,2,1,1
151,151,Yadavi Dubey,46,8,2,3,2
152,152,Oscar Sarin,54,2,1,4,2
153,153,Keya Sarkar,58,1,3,2,2
154,154,Upadhriti Pandya,32,3,5,2,2
155,155,Abeer Shere,64,4,3,2,2
156,156,Charvi Mukhopadhyay,52,5,3,4,1
157,157,Charita Ravel,19,8,3,4,1
158,158,Anvi Raman,52,1,3,3,2
159,159,Isha Dewan,53,6,4,2,1
160,160,Ikshita Vohra,67,4,4,5,2
161,161,Kai Naik,20,7,2,2,1
162,162,Warjas Cheema,32,7,3,2,1
163,163,Ekani Chokshi,52,4,5,3,2
164,164,Logan Ahluwalia,37,8,5,3,1
165,165,Farhan Datta,68,3,4,5,2
166,166,Falan Warrior,69,7,5,1,2
167,167,Bachittar Nigam,63,6,2,1,1
168,168,Anika Barman,22,8,6,5,2
169,169,Charles Ram,24,2,2,2,1
170,170,Dalbir Khanna,21,6,3,2,2
171,171,Faraj Bhandari,23,1,2,5,1
172,172,Faraj Bose,47,4,4,1,2
173,173,Dalaja Kade,54,3,3,3,1
174,174,Bahadurjit Madan,69,5,3,1,2
175,175,Qarin Sankar,32,6,2,1,2
176,176,Ikbal Rama,49,2,4,3,1
177,177,Wazir Deo,31,7,3,4,2
178,178,Janaki Luthra,57,1,6,3,2
179,179,Ria Andra,27,5,5,4,1
180,180,Viraj Contractor,28,1,2,1,1
181,181,Isaiah Vaidya,70,7,5,1,2
182,182,Aryan Narain,70,4,3,3,1
183,183,Naveen Pillay,42,1,2,2,2
184,184,Urmi Vohra,56,7,3,4,2
185,185,Wridesh Saxena,45,5,1,1,2
186,186,Dipta Dalal,18,4,2,1,1
187,187,Bahadurjit Sankar,61,8,6,5,1
188,188,Neelima Khurana,51,2,3,1,2
189,189,Yashodhara Chacko,63,1,1,1,1
190,190,Wakeeta Om,28,4,3,4,1
191,191,Benjamin Kade,21,5,4,4,1
192,192,Anusha Sur,63,6,1,4,2
193,193,Kala Jani,66,2,6,2,2
194,194,Yashica Nayak,69,5,5,5,2
195,195,Thomas Hayre,67,2,1,5,2
196,196,Karan Issac,55,7,5,1,2
197,197,Omya Lall,45,1,2,4,1
198,198,Brinda Sundaram,48,2,2,1,2
199,199,Pavani D’Alia,39,6,1,1,1
200,200,Wahab Balakrishnan,24,7,1,5,1
201,201,Sara Rout,31,7,2,2,1
202,202,Naksh Wason,31,4,3,1,2
203,203,Tanveer Kothari,20,3,1,3,1
204,204,Karan Madan,49,6,1,2,1
205,205,Harish Lalla,70,8,1,3,2
206,206,Yashawini Konda,39,5,4,5,2
207,207,Vansha Chopra,45,8,5,1,2
208,208,Zayyan Sabharwal,38,7,4,1,2
209,209,Joshua Arya,21,5,2,5,2
210,210,Aditya Minhas,46,8,1,2,1
211,211,Kamya Venkataraman,53,1,5,2,1
212,212,Girindra Yogi,46,7,6,3,1
213,213,Bhavani Sandhu,28,1,2,2,1
214,214,Ganga Malhotra,61,1,2,4,2
215,215,Urmi Narain,57,3,1,1,1
216,216,Edhitha Wali,24,8,3,2,2
217,217,Hiral Samra,40,1,3,1,2
218,218,Riya Patel,27,2,5,5,1
219,219,Anusha Bhandari,39,6,6,5,1
220,220,Rishi Badal,52,3,3,4,1
221,221,Amara Chacko,34,6,1,5,2
222,222,Ubika Chakrabarti,44,1,5,2,2
223,223,Ladli Mangat,25,1,6,5,2
224,224,Aishani Chanda,57,1,3,4,1
225,225,Aarna Kamdar,41,4,4,2,2
226,226,Abhiram Dutt,48,2,3,4,1
227,227,Quincy Bains,66,4,4,5,1
228,228,Oviya Sandhu,20,6,1,2,1
229,229,Dayamai Dhaliwal,57,1,5,4,2
230,230,Damyanti Buch,62,8,1,3,2
231,231,Kabir Nadkarni,47,1,5,4,2
232,232,Jyoti Pathak,29,2,5,3,2
233,233,Girik Nori,61,2,3,5,1
234,234,Mitali Varughese,28,7,5,2,2
235,235,Yashica Rajagopalan,43,7,2,1,1
236,236,Urvashi Nayak,18,2,2,1,2
237,237,Chandresh Pingle,66,2,6,5,2
238,238,Yuvraj Gill,29,3,6,1,2
239,239,Tara Baria,48,7,5,5,2
240,240,Rehaan Lal,62,8,4,2,1
241,241,Quincy Malhotra,37,3,6,2,2
242,242,Kai Maharaj,52,3,1,1,2
243,243,Falguni Ramachandran,38,7,1,1,1
244,244,Madhavi Kumer,37,3,3,3,2
245,245,Arin Mander,20,2,5,3,1
246,246,Indrajit Mann,37,6,3,1,2
247,247,Hitesh Nadkarni,27,7,3,2,2
248,248,Leela Sahota,62,2,5,3,1
249,249,Zaid Ganesan,48,8,3,3,2
250,250,Ryan Naidu,42,1,3,2,1
251,251,Garima Dutta,23,7,3,1,1
252,252,Lekha Bobal,66,6,5,4,2
253,253,Balveer Patla,36,5,3,2,1
254,254,Adweta Choudhury,21,6,6,4,2
255,255,Shivansh Lalla,61,1,1,4,1
256,256,Anvi Banik,62,8,5,1,2
257,257,Ayaan Kakar,69,2,5,2,1
258,258,Omkaar Vohra,57,3,2,5,2
259,259,Jagdish Hegde,48,6,3,1,2
260,260,Yash Kunda,20,7,4,3,2
261,261,Devansh Deo,35,1,6,4,2
262,262,Harish Kale,62,8,6,5,2
263,263,Aishani Wali,57,5,5,3,1
264,264,Saanvi Oommen,22,7,5,1,2
265,265,Nakul Dugar,21,1,5,2,2
266,266,Maanav Mohan,51,8,3,5,2
267,267,Arjun Nagy,69,5,2,2,2
268,268,Varsha Singhal,49,3,3,3,1
269,269,Ekta Sachdev,28,5,3,2,1
270,270,Anthony Dey,61,3,2,1,1
271,271,Aashi Kumer,47,7,4,3,1
272,272,Chanakya Wadhwa,70,6,3,5,2
273,273,Isaiah Wali,52,8,1,5,2
274,274,Rachana Bail,56,7,2,4,1
275,275,Tanvi Iyer,51,7,6,1,1
276,276,Victor Joshi,68,4,2,3,2
277,277,Atharv Sawhney,34,1,3,3,1
278,278,Samesh Rai,56,2,6,1,2
279,279,Gautam Tripathi,31,8,5,2,1
280,280,Dayita Bhattacharyya,65,6,1,5,2
281,281,Aditya Dave,57,2,4,1,2
282,282,Oni Gera,31,8,4,3,1
283,283,Atharv Narula,18,3,3,4,1
284,284,George Saini,37,5,4,1,2
285,285,Kabir Naidu,58,6,3,5,1
286,286,Qasim Mitra,32,2,3,3,2
287,287,Qabil Atwal,51,6,5,1,1
288,288,Raghav Ravi,38,7,3,2,2
289,289,Quincy Kumer,45,6,6,3,1
290,290,Idika Mohanty,29,3,1,3,2
291,291,Lucky Kapadia,56,5,3,4,2
292,292,Chandran Rattan,39,3,4,4,2
293,293,Vasana Dyal,53,6,6,2,1
294,294,Jatin Doshi,45,4,6,5,1
295,295,Mitesh Bobal,28,1,1,3,2
296,296,Gaurang Patil,66,7,2,2,1
297,297,Vedika Kibe,20,2,4,1,1
298,298,Jacob Khare,45,8,5,2,1
299,299,Baljiwan Rastogi,44,2,4,5,1
300,300,Hemangini Pandey,24,4,5,4,1
301,301,Naveen Kadakia,47,5,3,2,2
302,302,Samaksh Lanka,23,6,2,3,1
303,303,Ranveer Mukherjee,56,5,5,5,2
304,304,Mekhala Deol,18,8,1,1,1
305,305,Maanav Arora,68,3,2,2,1
306,306,Adya Sankar,63,2,2,3,1
307,307,Dipta Cheema,19,5,1,5,2
308,308,Saumya Bhandari,49,1,6,2,2
309,309,Divya Ahuja,40,3,5,5,2
310,310,Neel Hayer,53,1,2,3,1
311,311,Zayyan Tata,43,2,3,5,2
312,312,Aarav Wadhwa,56,7,4,2,1
313,313,Hemani Chatterjee,25,4,5,2,1
314,314,Hritik Palla,63,5,6,4,1
315,315,Lohit Khatri,57,5,3,2,1
316,316,Krishna Sem,19,7,6,4,2
317,317,Hemang Nagy,19,4,4,3,1
318,318,Lekha Guha,51,3,1,1,1
319,319,Lakshmi Jha,70,5,6,3,1
320,320,Chaitanya Dugal,46,4,3,3,1
321,321,Nimrat Anne,31,4,6,5,1
322,322,Saumya Dave,45,4,1,1,1
323,323,Qadim Yadav,43,8,6,1,1
324,324,Joshua Vasa,68,1,5,1,1
325,325,Kamala Sarma,37,8,3,3,1
326,326,Akshay Dua,53,4,4,1,2
327,327,Gautami Sarna,63,3,5,3,1
328,328,Omkaar Nagy,31,3,4,2,2
329,329,Ethan Bahri,26,1,6,4,1
330,330,Jagvi Kapur,63,5,2,2,2
331,331,Triveni Sethi,26,7,6,3,1
332,332,Yatan Kalla,25,2,3,1,1
333,333,Upma Chopra,29,2,3,5,2
334,334,Samuel Raju,52,6,3,5,1
335,335,Balendra Chatterjee,43,4,6,1,1
336,336,Matthew Kala,29,4,3,3,1
337,337,Harrison Dutta,50,2,2,2,2
338,338,Onkar Bahri,25,5,2,4,1
339,339,Ekapad Goel,51,6,1,1,2
340,340,Rehaan Varghese,26,6,3,5,2
341,341,Kalpit Anne,43,6,1,5,2
342,342,Hiral Lal,50,7,6,1,2
343,343,Kashvi Bhattacharyya,58,5,1,3,2
344,344,Gavin Aggarwal,30,5,5,2,2
345,345,Adya Dhawan,38,1,3,1,1
346,346,Dhruv Bhatia,62,1,3,3,1
347,347,Varsha Prabhakar,43,6,2,4,2
348,348,Sneha Dua,47,1,4,2,2
349,349,Girish Babu,43,3,1,5,1
350,350,Vinaya Bhasin,51,1,3,5,2
351,351,Tarak Saha,22,2,6,3,2
352,352,Kala Solanki,38,1,4,2,1
353,353,Anirudh Munshi,46,8,1,4,2
354,354,Daniel Som,35,1,5,2,2
355,355,Dipta Yadav,33,5,4,1,1
356,356,Aryan Balakrishnan,61,2,6,4,1
357,357,Ekantika Badal,51,6,1,1,1
358,358,Ekansh Dey,67,8,5,2,1
359,359,Nitara Oza,61,2,1,4,2
360,360,Gaurav Johal,42,8,1,2,2
361,361,Laksh Tella,56,4,3,1,1
362,362,Ekansh Baria,39,8,5,5,2
363,363,Abhimanyu Manda,45,2,4,2,2
364,364,Abha Ramaswamy,51,1,4,5,1
365,365,Samesh Iyengar,39,5,5,1,1
366,366,Pratyush Nath,27,3,3,3,1
367,367,Yuvraj Brahmbhatt,64,5,3,2,1
368,368,Jhalak Kale,39,2,4,4,1
369,369,Azaan Soni,37,1,1,5,1
370,370,Rachana Shroff,63,2,2,4,1
371,371,Chaitanya Saran,48,7,6,4,2
372,372,Owen Ratti,30,5,4,2,1
373,373,Nitesh Basak,54,6,2,5,2
374,374,Eshana Prakash,55,5,4,1,2
375,375,Warhi Dhawan,38,1,6,3,1
376,376,Neha Anne,70,5,2,5,2
377,377,Azad Tata,51,5,5,2,2
378,378,Yatan Chandra,42,6,4,2,1
379,379,Kabir Bala,35,6,4,4,2
380,380,Balveer Mannan,70,1,2,4,2
381,381,Lila Goda,54,5,6,1,2
382,382,Kevin Bajwa,66,1,1,3,2
383,383,Hitesh Sahota,50,4,6,4,2
384,384,Neel Chadha,41,1,5,5,1
385,385,Manan Mital,42,7,1,3,2
386,386,Aditya Mitter,48,4,3,1,2
387,387,Hardik Gera,67,6,6,2,1
388,388,Nitesh Koshy,55,4,3,5,1
389,389,Nakul Khurana,33,2,3,3,2
390,390,Avni Shetty,37,2,5,2,1
391,391,Hema Walia,52,3,4,5,1
392,392,Arya Lalla,60,8,3,5,2
393,393,Tripti Yogi,18,7,3,3,2
394,394,Ranbir Kumar,64,7,3,4,1
395,395,Prisha Suri,57,1,2,5,1
396,396,Arunima Chokshi,48,4,6,1,2
397,397,Max Bajaj,31,1,4,5,2
398,398,Thomas Mammen,23,2,6,3,2
399,399,Saanvi Doctor,18,1,5,2,2
400,400,Riya Jha,54,5,4,1,1
401,401,Dhruv Sethi,65,7,6,2,2
402,402,Ijaya Karnik,49,8,3,3,1
403,403,Balhaar Raj,41,6,1,2,2
404,404,Lucky Sarin,48,1,3,3,2
405,405,Praneel Walla,59,5,4,4,1
406,406,Meera Deshmukh,41,6,3,5,1
407,407,Aadi Mani,49,8,6,2,2
408,408,Jonathan Bansal,54,5,5,1,2
409,409,Rushil Babu,49,4,3,3,2
410,410,Udyati Prabhu,38,8,6,5,2
411,411,Chatresh Palla,29,7,2,4,2
412,412,Dayita Toor,68,3,3,5,2
413,413,Eta Mane,59,2,6,5,1
414,414,Lucky Hegde,36,8,4,1,1
415,415,Omisha Doshi,70,4,1,2,1
416,416,Tripti Oommen,63,8,6,1,1
417,417,Yashodhara Mital,53,8,3,3,1
418,418,Yashasvi Patil,27,4,2,1,2
419,419,Gauri Prabhakar,58,6,2,2,2
420,420,Fitan Butala,65,8,3,4,2
421,421,Gagan Baria,43,5,4,3,2
422,422,Yutika Char,20,8,4,4,2
423,423,Mohammed Bansal,21,3,2,5,1
424,424,Gaurangi Nagarajan,23,3,5,3,1
425,425,Azad Krishnan,48,7,5,5,2
426,426,Girik Sur,30,2,3,2,2
427,427,Siddharth Divan,57,3,6,1,1
428,428,Urvi Sahni,62,4,4,5,1
429,429,Aarnav Sani,33,4,6,2,2
430,430,Bhavna D’Alia,68,8,3,4,2
431,431,Brinda Kurian,58,6,3,5,2
432,432,Siya Nazareth,40,8,2,4,2
433,433,Andrew Chadha,43,5,1,3,2
434,434,Harini Ramachandran,68,6,5,4,2
435,435,Ekanta Pillay,37,8,4,1,2
436,436,Ubika Chada,61,7,5,1,2
437,437,Hredhaan Bhakta,27,5,4,3,1
438,438,Charita Ray,38,8,1,5,2
439,439,Fariq Mishra,63,8,1,3,2
440,440,Nidra Chhabra,60,7,5,3,2
441,441,Abdul Virk,69,7,6,1,2
442,442,Lipika Hans,42,8,2,5,1
443,443,Zehaan Dave,56,4,4,4,1
444,444,Kiaan Kamdar,33,2,5,1,2
445,445,Hredhaan Om,62,8,1,5,1
446,446,Vrinda Mahal,48,3,3,4,1
447,447,Indrajit Mani,27,8,6,2,2
448,448,Madhavi Madan,39,2,4,4,2
449,449,Yashodhara Dhillon,28,5,6,5,1
450,450,Hredhaan Khurana,66,4,6,5,2
451,451,Manthan Bahri,36,2,1,2,2
452,452,Zayan Magar,41,7,1,5,2
453,453,Yash Nair,64,5,1,2,1
454,454,Nitara Warrior,43,6,3,4,1
455,455,Shaurya Chander,59,8,3,5,2
456,456,Tarak Sabharwal,39,7,4,3,1
457,457,Ansh Maharaj,64,7,6,1,2
458,458,Jeevika Mistry,35,4,1,4,2
459,459,Elijah Dube,58,6,3,4,1
460,460,Saumya Sandal,60,1,1,3,2
461,461,Chatura Karpe,22,1,3,3,1
462,462,Aashi Lal,45,4,4,5,1
463,463,Anya Nazareth,38,3,5,4,2
464,464,Guneet Sarna,53,8,4,1,2
465,465,Matthew Gill,57,6,3,5,2
466,466,Aarnav Lal,27,6,4,4,2
467,467,Manthan Luthra,61,4,1,2,2
468,468,Sarthak Khosla,19,1,3,1,1
469,469,Advika Kuruvilla,54,2,4,5,1
470,470,Mohammed Bhatti,55,8,1,1,2
471,471,Dayita Krishnamurthy,24,4,1,3,1
472,472,Rachit Memon,30,6,1,1,1
473,473,Wyatt Tella,70,3,2,5,1
474,474,Rishi Vora,54,6,5,5,2
475,475,Unnati Dasgupta,35,7,1,1,1
476,476,Bakhshi Bose,67,4,5,4,2
477,477,Gaurika Sachdeva,40,2,6,4,1
478,478,Dalbir Bose,61,1,4,2,1
479,479,Yashasvi Divan,38,4,2,4,1
480,480,Geetika Khanna,44,5,3,3,2
481,481,Christopher Venkatesh,59,4,6,1,2
482,482,Harini Parekh,61,7,1,1,1
483,483,Bina Baria,61,2,2,1,1
484,484,Simon Kaur,19,8,1,2,1
485,485,Qabil Babu,62,1,1,2,2
486,486,Robert Gill,52,5,1,4,1
487,487,Mitali Dalal,63,7,3,1,2
488,488,Eshana Pathak,26,6,2,3,2
489,489,Nikita Dalal,28,1,4,4,1
490,490,Tarak Aurora,41,1,6,2,1
491,491,Yashodhara Magar,38,8,6,3,2
492,492,Falan Bumb,65,8,4,5,1
493,493,Sudiksha Reddy,20,6,4,3,2
494,494,Logan Rau,33,6,5,4,1
495,495,Samaksh Setty,61,5,5,5,2
496,496,Advaith Jayaraman,45,8,4,5,2
497,497,Tejas Sem,42,4,5,5,1
498,498,Girindra Sankar,38,4,1,4,1
499,499,Xalak Varghese,62,1,4,5,1
500,500,Vincent Zacharia,57,5,4,5,2
501,501,Arin Tailor,42,7,3,2,2
502,502,Pranit Kapur,63,6,4,2,2
503,503,Mitali Shan,39,6,3,3,2
504,504,Zashil Tripathi,42,1,3,3,2
505,505,Praneel Keer,61,5,2,4,2
506,506,Atharv Seth,45,1,3,5,1
507,507,Leena Doctor,41,7,6,5,2
508,508,Madhavi Raj,60,3,1,4,2
509,509,Amrita Krishnamurthy,41,4,2,1,1
510,510,Harshil Oak,34,2,2,2,1
511,511,Lopa Ganesh,33,5,2,1,1
512,512,Harsh Kapoor,22,7,6,4,2
513,513,Ekani Sura,62,2,4,1,1
514,514,Champak Issac,41,7,1,4,1
515,515,Eshana Memon,64,2,1,1,2
516,516,Wazir Sandhu,61,6,5,1,1
517,517,Jalsa Dayal,65,5,3,3,1
518,518,Ati Misra,51,7,6,4,2
519,519,Jagat Butala,24,5,4,1,1
520,520,Warjas Deep,49,8,1,3,1
521,521,Harish Mander,24,8,6,2,2
522,522,Jyoti Mani,44,3,4,5,2
523,523,Zinal Konda,63,2,6,4,1
524,524,Inaya Srinivasan,26,5,6,3,2
525,525,Wridesh Chaudry,49,2,6,2,1
526,526,Qabil Gera,34,5,4,1,1
527,527,Amara Sahni,66,1,5,2,1
528,528,Rachit Ghosh,19,8,1,2,2
529,529,Chatura Guha,69,6,4,3,2
530,530,Darsh Baria,40,3,3,4,1
531,531,Ekani Choudhary,66,1,1,3,1
532,532,Rushil Sridhar,70,1,1,5,2
533,533,Upma Butala,41,8,5,1,2
534,534,Liam Bera,36,1,3,2,1
535,535,Yuvraj Hora,40,6,1,1,1
536,536,Bhavani Bajaj,33,8,3,2,2
537,537,Inaya Rai,28,6,6,4,2
538,538,Jagat Dhar,65,8,2,2,2
539,539,Falan Dugal,70,4,6,3,2
540,540,Ojas Bhat,40,1,5,4,2
541,541,Zaid Bhargava,20,4,5,4,1
542,542,Pallavi Morar,25,2,4,1,1
543,543,Orinder Koshy,44,7,1,1,1
544,544,Shivani Rastogi,41,1,3,3,1
545,545,Nilima Sethi,22,4,3,5,2
546,546,Ryan Rattan,22,7,3,4,1
547,547,Samarth Dara,25,5,6,3,2
548,548,Neha Sachdeva,33,5,4,5,2
549,549,Aarush Murty,46,7,2,3,1
550,550,Rushil Sheth,38,1,2,4,1
551,551,Amaira Kothari,22,6,4,2,1
552,552,Ekalinga Lalla,67,3,1,3,1
553,553,Hitesh Chakraborty,65,4,6,1,2
554,554,Yashoda Balasubramanian,69,7,2,3,1
555,555,Chakradhar Sahota,51,3,5,1,2
556,556,Yasti Tata,58,8,3,2,1
557,557,Isaiah Pant,27,7,3,3,2
558,558,Krisha Rajagopal,21,3,1,3,1
559,559,Harsh Raju,47,8,6,4,2
560,560,Amaira Warrior,28,8,5,3,2
561,561,Sai Bir,34,4,3,5,2
562,562,Harita Grover,63,6,5,3,1
563,563,Jagvi Mallick,22,6,2,5,1
564,564,Upma Sule,34,1,1,1,2
565,565,Upkaar Narain,41,7,5,5,2
566,566,Advika Murthy,62,7,1,1,2
567,567,Megha Johal,58,5,4,1,2
568,568,Laban Misra,53,1,4,5,1
569,569,Akshay Mukhopadhyay,69,5,1,3,1
570,570,Pavani De,34,2,3,5,1
571,571,Omya Nayar,47,8,5,4,1
572,572,Vanya Som,48,2,6,5,1
573,573,Zansi Rama,58,7,6,3,1
574,574,Vasana Talwar,60,5,6,1,2
575,575,Nilima Lall,65,5,3,3,1
576,576,Vedant Sani,59,1,2,5,2
577,577,Viraj Thakur,18,1,3,2,1
578,578,Aachal Mody,36,8,2,5,2
579,579,Vyanjana Chad,50,6,2,3,2
580,580,Omkaar Bora,50,5,5,1,2
581,581,Balendra Chawla,41,3,3,3,1
582,582,Prisha Bera,25,3,3,3,1
583,583,Darsh Mohan,40,6,5,3,2
584,584,Lakshmi Krishnan,48,6,2,1,2
585,585,Shivansh Gera,31,3,1,2,2
586,586,Dev Vig,51,2,4,4,2
587,587,Jairaj Apte,66,3,4,5,2
588,588,Eiravati Kohli,39,4,1,3,2
589,589,Anay Shankar,47,4,2,4,2
590,590,Raksha Borde,61,8,6,4,2
591,591,Agastya Ramaswamy,34,7,3,2,2
592,592,Benjamin Virk,44,6,6,1,1
593,593,Alexander Wable,65,2,6,4,1
594,594,Kamala Sanghvi,25,5,2,3,1
595,595,Lajita Aurora,33,2,2,4,2
596,596,Tanmayi Mannan,18,6,6,4,2
597,597,Gopal Dhillon,54,4,6,2,1
598,598,Henry Pal,67,2,3,3,1
599,599,Mohini Kanda,58,3,1,4,1
600,600,Dalbir Chakraborty,67,4,1,1,1
601,601,Dominic Bhargava,54,4,3,4,1
602,602,Bachittar Shere,22,5,5,1,1
