EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
45,30,1071,1,2,KGID100045,Jeremiah,2000-10-21,1,6,0,2011-01-25
46,22,811,1,3,KGID100046,Noah,1971-12-02,2,8,0,2024-07-02
47,4,149,1,3,KGID100047,Pallavi,1976-07-25,1,2,0,2024-08-28
48,28,1037,1,2,KGID100048,Sai,2000-05-05,1,4,0,2023-05-08
49,7,324,2,3,KGID100049,Kashvi,1991-10-18,2,1,0,2012-04-30
50,16,614,5,1,KGID100050,Jai,1982-06-13,1,5,0,2019-04-13
51,5,220,3,1,KGID100051,Ansh,1975-12-25,2,5,0,2019-12-09
52,18,703,1,3,KGID100052,Thomas,1987-07-23,2,8,0,2011-09-11
53,3,105,1,2,KGID100053,Daniel,1967-10-19,2,1,0,2025-07-21
54,5,268,3,2,KGID100054,Ganga,1975-05-04,1,8,0,2024-12-25
55,23,876,2,1,KGID100055,Vedika,1969-12-17,1,3,0,2025-07-21
56,20,757,2,1,KGID100056,Urvashi,1974-11-02,2,3,0,2021-03-19
57,19,747,4,1,KGID100057,Niharika,1975-10-25,2,4,0,2022-05-23
58,5,211,2,3,KGID100058,Raagini,1974-01-10,2,3,0,2021-01-13
59,11,485,4,1,KGID100059,Chatura,1979-08-08,2,1,0,2019-08-31
60,17,681,4,2,KGID100060,Guneet,1990-06-13,1,5,0,2025-03-21
61,5,222,2,1,KGID100061,Ikbal,1969-08-12,2,4,0,2025-07-21
62,25,943,1,1,KGID100062,Saumya,1976-01-04,1,1,0,2019-11-20
63,22,817,1,1,KGID100063,Turvi,1972-04-26,2,6,0,2023-02-07
64,22,819,3,3,KGID100064,Saanvi,1976-01-18,2,1,0,2025-01-05
65,13,535,1,2,KGID100065,Guneet,1995-01-10,1,2,0,2021-10-22
66,18,708,3,2,KGID100066,Alexander,1969-04-10,2,2,0,2025-07-21
67,9,390,1,3,KGID100067,Warjas,2000-07-01,2,1,0,2023-04-09
68,31,1103,3,3,KGID100068,Tanay,1973-03-17,1,6,0,2023-06-30
69,17,677,3,3,KGID100069,Nitesh,1996-12-14,1,5,0,2022-12-01
70,22,837,1,3,KGID100070,Alka,1980-06-09,2,3,0,2025-05-22
71,20,777,3,1,KGID100071,Bhavika,1999-01-21,2,7,0,2019-02-08
72,1,1,1,1,KGID100072,Vidhi,1981-12-08,2,6,0,2025-01-14
73,24,906,3,3,KGID100073,Dalbir,1972-10-25,2,3,0,2023-06-11
74,15,582,2,3,KGID100074,Dipta,1987-03-31,2,2,0,2017-04-24
75,11,482,3,1,KGID100075,Yadavi,1969-06-30,1,3,0,2025-07-21
76,12,502,6,3,KGID100076,Dakshesh,1998-10-24,1,8,0,2011-12-15
77,9,399,3,2,KGID100077,Quincy,2000-03-21,2,7,0,1997-01-14
78,1,12,4,1,KGID100078,Wahab,1969-11-18,2,4,0,2025-07-21
79,29,1061,2,3,KGID100079,Yatin,1981-04-13,1,2,0,2024-11-07
80,26,952,3,3,KGID100080,Finn,1987-03-28,2,8,0,2008-04-08
81,28,1034,2,3,KGID100081,Diya,1981-10-22,2,3,0,2020-07-22
82,26,973,2,1,KGID100082,Dipta,1999-05-03,2,8,0,2001-09-06
83,14,563,2,3,KGID100083,Charita,1975-09-02,2,4,0,2021-12-05
84,17,655,4,1,KGID100084,Elijah,1983-02-06,1,3,0,2024-07-23
85,6,313,3,1,KGID100085,Harish,1967-11-14,2,7,0,2025-07-21
86,26,955,2,1,KGID100086,Alka,1970-01-16,2,7,0,2024-10-06
87,2,41,4,3,KGID100087,Ekapad,1972-01-21,2,8,0,2023-08-08
88,19,721,1,2,KGID100088,Nakul,1997-06-13,2,4,0,2007-11-25
89,14,559,2,1,KGID100089,Chasmum,1982-06-14,2,6,0,2019-08-13
90,22,829,3,2,KGID100090,Abhiram,1988-05-08,1,1,0,2025-04-23
91,2,56,1,2,KGID100091,Hemang,1990-04-06,1,8,0,2016-03-13
92,13,533,2,1,KGID100092,Jack,1999-06-24,2,6,0,1999-08-01
93,20,777,1,2,KGID100093,Nachiket,1997-10-21,2,2,0,2018-05-04
94,31,1105,1,2,KGID100094,Hemal,1976-10-24,1,2,0,2022-10-14
95,2,83,4,1,KGID100095,Aishani,1974-06-23,1,1,0,2023-09-22
96,11,489,1,3,KGID100096,Charan,1984-09-26,1,4,0,2014-04-27
97,13,525,4,1,KGID100097,Aradhana,1970-09-10,1,3,0,2024-12-22
98,5,222,2,2,KGID100098,Kalpit,1969-01-19,2,7,0,2025-07-21
99,10,407,1,3,KGID100099,Riya,1989-03-20,1,2,0,2010-10-16
100,16,618,4,3,KGID100100,Aditya,1986-04-24,1,1,0,2015-10-28
101,23,878,3,1,KGID100101,Manthan,1971-05-11,2,1,0,2025-06-10
102,27,1004,1,2,KGID100102,Manbir,1986-02-07,2,3,0,2022-09-28
103,30,1069,5,2,KGID100103,Janya,1982-03-02,2,8,0,2013-02-04
104,14,550,1,1,KGID100104,Balveer,1998-02-13,1,5,0,2019-08-22
105,12,500,4,3,KGID100105,Zaid,1998-02-12,2,6,0,2002-08-24
106,17,666,1,1,KGID100106,Niharika,1990-03-25,2,5,0,2011-12-24
107,14,566,2,3,KGID100107,Warjas,2000-08-31,1,2,0,2017-10-14
108,22,833,2,1,KGID100108,Peter,1996-12-13,2,8,0,2024-11-28
109,2,36,1,1,KGID100109,Gaurangi,1997-07-10,2,4,0,1998-04-01
110,20,756,2,3,KGID100110,Yuvraj,1994-02-26,2,7,1,2010-11-05
111,17,678,2,2,KGID100111,Hritik,1976-08-16,2,5,0,2024-01-24
112,5,248,3,2,KGID100112,Upma,1980-07-23,1,3,0,2014-12-24
113,27,992,1,3,KGID100113,Triveni,1975-02-12,2,2,0,2024-06-14
114,16,607,1,1,KGID100114,Vedant,1979-06-11,2,1,0,2023-10-04
115,5,260,1,1,KGID100115,Mohini,1975-02-18,2,3,0,2023-07-07
116,27,1006,1,1,KGID100116,Arya,1978-09-18,2,8,0,2024-05-01
117,18,698,1,1,KGID100117,Garima,1979-06-29,2,8,0,2020-08-24
118,3,134,2,1,KGID100118,Advika,1999-06-28,1,3,0,1999-01-05
119,16,623,1,1,KGID100119,Alka,1973-08-16,1,7,0,2025-05-27
120,11,463,4,2,KGID100120,Hemani,1968-11-08,2,8,0,2025-07-21
121,23,879,1,3,KGID100121,Yasti,1992-04-28,1,2,0,2009-10-07
122,10,426,3,2,KGID100122,Ranveer,1971-06-27,1,3,0,2025-05-08
123,4,154,1,2,KGID100123,Aarav,1976-03-19,2,8,0,2023-07-07
124,11,475,1,2,KGID100124,Ronith,1985-03-25,2,2,0,2022-06-16
125,13,542,4,3,KGID100125,Ganga,1979-12-09,1,7,0,2016-04-02
126,11,461,3,2,KGID100126,Jeet,1988-09-27,1,2,0,2019-02-27
127,16,630,2,3,KGID100127,Dayamai,1992-01-10,2,8,0,2009-06-17
128,16,623,3,2,KGID100128,Chakrika,1990-03-25,2,8,0,2011-05-27
129,2,82,4,3,KGID100129,Ladli,1986-05-28,2,5,0,2011-10-25
130,11,469,5,3,KGID100130,Charvi,1990-08-01,1,5,0,2023-07-06
131,8,359,2,3,KGID100131,Daksha,1981-05-12,2,5,0,2023-07-23
132,23,893,3,2,KGID100132,Ekanta,1977-04-23,1,8,0,2020-12-28
133,17,683,1,1,KGID100133,Tanay,1983-05-13,1,6,0,2017-09-28
134,28,1015,1,2,KGID100134,Omkaar,1984-12-07,1,8,0,2022-06-17
135,12,517,1,2,KGID100135,Gautami,1989-12-15,1,8,0,2011-03-25
136,9,385,2,3,KGID100136,Wahab,1970-09-23,2,8,0,2025-07-03
137,10,417,1,1,KGID100137,Rushil,1990-06-06,2,8,0,2009-04-08
138,27,993,1,3,KGID100138,Vaishnavi,1972-07-24,1,3,0,2022-09-10
139,1,29,2,1,KGID100139,Tamanna,1988-05-03,1,2,0,2021-02-25
140,5,241,3,1,KGID100140,Robert,1981-08-23,2,5,0,2021-02-09
141,14,560,2,2,KGID100141,Mugdha,1991-12-24,2,4,0,2012-01-01
142,6,297,2,3,KGID100142,Abdul,1975-11-07,1,2,0,2023-06-28
143,22,850,1,3,KGID100143,Hredhaan,1997-11-26,2,1,0,2021-08-23
144,16,612,4,3,KGID100144,Zarna,1994-01-08,2,3,0,2006-01-09
145,27,992,1,3,KGID100145,Jairaj,1983-05-08,2,8,0,2019-05-11
146,9,387,6,1,KGID100146,Edhitha,1983-01-27,2,4,0,2022-10-09
147,22,842,1,3,KGID100147,Yamini,1999-11-09,2,7,0,2022-04-18
148,6,312,2,1,KGID100148,Sanaya,1982-01-23,1,6,0,2024-05-04
149,24,902,1,2,KGID100149,Vaishnavi,1998-01-22,1,3,0,2018-02-12
150,7,317,1,2,KGID100150,Aradhana,1982-11-09,2,7,0,2022-04-29
151,17,673,4,3,KGID100151,William,1993-08-04,2,6,0,2014-01-24
152,27,1000,4,1,KGID100152,Bhavika,1976-11-21,1,4,0,2019-02-05
153,15,589,6,3,KGID100153,Faris,1975-07-12,1,7,1,2021-07-26
154,5,206,2,3,KGID100154,Michael,1972-04-04,2,1,0,2023-04-01
155,3,115,1,2,KGID100155,Nikita,1991-07-29,2,3,0,2004-12-19
156,22,844,2,1,KGID100156,David,1978-10-21,1,3,0,2020-09-29
157,21,784,3,1,KGID100157,Anmol,1974-08-02,2,3,0,2022-08-27
158,13,521,2,3,KGID100158,Lajita,1996-09-06,1,8,0,2019-03-23
159,31,1120,1,2,KGID100159,Chanchal,1983-10-09,2,5,0,2024-10-01
160,23,869,3,2,KGID100160,Oni,1993-03-04,2,4,1,2022-01-13
161,27,990,1,2,KGID100161,Thomas,1985-11-08,2,5,1,2021-04-22
162,15,605,1,3,KGID100162,Vedika,1984-02-26,2,5,0,2014-08-25
163,3,101,5,3,KGID100163,Nidhi,1968-07-16,2,5,0,2025-07-21
164,11,472,3,2,KGID100164,Joshua,1992-03-05,1,4,0,2021-11-19
165,5,281,3,3,KGID100165,Meera,2000-11-24,1,5,0,2011-02-10
166,2,69,2,3,KGID100166,Fiyaz,1987-09-05,1,2,0,2019-06-27
167,17,670,3,1,KGID100167,Triya,1989-05-29,1,3,0,2008-04-07
168,20,750,2,2,KGID100168,Falak,1973-09-24,1,5,0,2022-08-05
169,27,987,5,2,KGID100169,Ladli,1974-10-01,2,2,0,2022-03-09
170,4,155,1,1,KGID100170,Oviya,1977-01-05,2,6,0,2025-02-28
171,22,809,1,3,KGID100171,Anirudh,1976-02-17,1,8,0,2019-02-16
172,13,537,2,3,KGID100172,Inaya,1993-01-08,2,2,0,2002-10-21
173,26,966,1,3,KGID100173,Banjeet,1975-03-06,2,4,0,2019-12-19
174,25,951,5,2,KGID100174,Ryan,1993-03-13,2,2,0,2024-05-05
175,2,77,1,2,KGID100175,William,1996-02-02,1,2,0,2015-04-30
176,31,1101,1,2,KGID100176,Tejas,1971-11-05,2,7,0,2024-11-21
177,7,317,4,3,KGID100177,Jyoti,1983-05-14,1,8,0,2015-02-21
178,14,573,1,2,KGID100178,Ishwar,1973-04-04,1,8,0,2023-12-25
179,11,484,4,1,KGID100179,Deepa,1993-12-31,2,6,0,2005-06-26
180,14,566,1,1,KGID100180,Devika,1971-03-25,2,2,0,2023-08-09
181,2,44,1,2,KGID100181,Keya,1987-02-17,1,3,0,2023-11-24
182,10,421,1,3,KGID100182,Faqid,1981-01-15,1,4,0,2022-02-17
183,11,478,1,1,KGID100183,Xavier,1987-09-08,1,5,0,2022-07-03
184,6,297,6,3,KGID100184,Jai,1971-01-07,2,3,0,2025-02-04
185,2,53,1,2,KGID100185,Benjamin,1994-08-17,1,6,0,2014-09-13
186,13,544,1,3,KGID100186,Kamala,1979-05-11,2,2,0,2019-11-02
187,26,976,2,2,KGID100187,Advik,1969-11-24,1,8,0,2025-07-21
188,3,89,3,3,KGID100188,Hitesh,1996-06-09,2,8,0,2020-10-03
189,2,64,1,2,KGID100189,Tripti,1982-04-17,2,7,0,2017-04-05
190,27,1005,3,2,KGID100190,Anamika,1991-08-09,1,2,0,2013-02-18
191,6,304,1,2,KGID100191,Veda,1988-06-30,2,7,1,2024-01-10
192,30,1087,1,3,KGID100192,Amrita,1983-05-12,2,2,0,2023-02-10
193,5,235,4,3,KGID100193,Gabriel,1978-07-06,1,7,0,2018-10-05
194,11,468,2,2,KGID100194,Ucchal,1977-01-14,2,7,0,2021-02-27
195,17,641,2,3,KGID100195,Gayathri,1986-12-05,2,6,0,2019-11-29
196,26,972,1,1,KGID100196,Qabil,1968-07-12,1,7,0,2025-07-21
197,20,764,4,3,KGID100197,Aarna,1984-02-17,1,6,0,2015-11-16
198,22,842,2,3,KGID100198,Anya,1979-02-15,2,1,0,2024-05-09
199,17,640,2,3,KGID100199,Rayaan,1986-06-14,1,3,0,2017-05-02
200,11,460,4,2,KGID100200,Vrinda,1970-06-19,2,2,0,2025-04-09
201,11,464,4,3,KGID100201,Vamakshi,1986-06-06,1,5,0,2012-08-21
202,14,560,3,2,KGID100202,Anay,1989-07-07,2,6,0,2015-05-15
203,6,294,2,2,KGID100203,Yagnesh,1970-09-19,1,3,0,2024-10-09
204,2,63,1,3,KGID100204,Urvashi,1977-12-18,1,7,0,2022-03-16
205,18,699,1,2,KGID100205,Ganga,1986-05-16,2,2,0,2014-05-25
206,7,319,1,3,KGID100206,Damini,1979-07-08,1,2,0,2020-02-03
207,23,869,2,2,KGID100207,Reyansh,1976-02-07,2,5,0,2019-05-26
208,29,1050,1,2,KGID100208,Qasim,1978-04-13,1,5,0,2023-03-28
209,27,997,2,2,KGID100209,Aradhana,1974-01-24,1,4,0,2024-03-30
210,3,113,1,2,KGID100210,Barkha,1992-03-10,1,3,0,2025-01-05
211,15,593,1,1,KGID100211,Chaman,2000-11-21,2,7,0,2020-05-13
212,21,779,2,1,KGID100212,Akshay,1975-04-16,2,2,0,2020-08-18
213,3,87,2,2,KGID100213,Chakradev,1991-08-17,1,6,0,2006-05-04
214,22,829,3,2,KGID100214,Jonathan,2000-09-05,2,2,0,2011-09-16
215,17,666,1,3,KGID100215,Harshil,1989-03-29,2,6,0,2020-08-10
216,5,217,1,3,KGID100216,Upasna,1997-03-24,2,2,0,2013-08-17
217,17,636,3,1,KGID100217,Charan,1983-10-31,2,3,0,2016-04-28
218,5,234,2,1,KGID100218,Ishaan,1976-02-20,2,6,0,2024-08-01
219,6,303,1,1,KGID100219,Ethan,1995-07-04,2,4,0,2009-12-21
220,6,314,4,3,KGID100220,Max,1987-03-05,1,3,0,2019-11-28
221,28,1012,2,3,KGID100221,Daksha,1972-08-16,2,6,0,2024-03-29
222,17,648,1,1,KGID100222,Omaja,1970-06-13,2,8,0,2024-10-19
223,14,563,2,2,KGID100223,Upkaar,1988-03-02,1,5,0,2021-07-29
224,2,78,1,2,KGID100224,Saanvi,1993-12-05,1,2,0,2010-09-07
225,29,1039,2,3,KGID100225,Pushti,1977-08-30,1,8,0,2022-04-05
226,9,386,1,2,KGID100226,Hardik,1977-12-08,1,1,0,2022-07-09
227,18,704,6,1,KGID100227,Siddharth,1999-10-10,1,1,0,2001-10-14
228,24,897,6,3,KGID100228,Wriddhish,1976-07-20,1,6,0,2019-02-14
229,15,580,2,2,KGID100229,Aarnav,1973-06-18,1,6,0,2021-11-07
230,5,194,2,2,KGID100230,Upma,1981-06-11,2,5,0,2021-10-28
231,6,308,1,3,KGID100231,Barkha,1977-06-16,1,6,0,2019-05-28
232,21,803,1,3,KGID100232,Vivaan,1991-06-16,1,5,0,2013-07-17
233,17,673,4,3,KGID100233,Rudra,1998-12-20,1,7,0,2019-05-26
234,2,38,2,1,KGID100234,Manthan,1982-01-03,1,6,0,2019-08-19
235,27,996,1,1,KGID100235,Ekbal,1998-06-10,1,2,0,2020-07-10
236,5,208,2,3,KGID100236,Bhavya,1969-07-31,1,6,0,2025-07-21
237,5,269,2,1,KGID100237,Daksha,1982-06-26,1,3,0,2018-08-24
238,7,340,3,1,KGID100238,Xiti,1991-05-06,2,6,0,2024-04-16
239,11,487,5,3,KGID100239,Balveer,1985-11-30,2,8,0,2016-07-22
240,12,490,1,2,KGID100240,Zashil,1997-10-17,1,6,0,2018-02-13
241,24,903,2,2,KGID100241,Ansh,1968-06-07,2,7,0,2025-07-21
242,10,409,4,1,KGID100242,Amruta,2001-07-16,2,1,0,2015-01-24
243,20,761,2,1,KGID100243,Parth,1987-02-23,1,5,0,2021-04-15
244,7,329,1,3,KGID100244,Arunima,1983-07-21,1,7,0,2020-09-03
245,11,455,4,2,KGID100245,Vyanjana,1973-09-21,1,7,0,2023-11-23
246,28,1029,2,2,KGID100246,Nilima,2000-07-02,1,6,0,2009-02-14
247,17,653,5,3,KGID100247,Naveen,1978-11-20,2,3,0,2022-08-01
248,15,588,5,2,KGID100248,Bhavya,1978-10-07,1,8,0,2022-10-18
249,1,11,5,1,KGID100249,Balhaar,1990-01-30,2,4,0,2012-12-17
250,31,1124,5,3,KGID100250,Ekiya,1983-01-07,2,2,0,2015-12-16
251,11,487,1,1,KGID100251,Yoshita,1971-06-30,1,7,0,2025-02-04
252,25,937,1,2,KGID100252,Turvi,1995-08-08,1,4,0,1999-08-01
253,15,597,2,3,KGID100253,Janaki,1981-08-09,2,4,0,2015-10-21
254,9,384,3,1,KGID100254,Riya,1988-09-21,2,2,0,2016-01-10
255,31,1115,2,3,KGID100255,Karan,1993-05-24,1,7,0,2006-06-10
256,3,90,3,2,KGID100256,Vedhika,1999-02-04,2,1,0,2008-09-11
257,3,139,1,3,KGID100257,Wriddhish,1971-09-06,1,6,0,2025-07-01
258,19,722,2,3,KGID100258,Akshay,1991-09-08,1,8,1,2010-05-22
259,27,981,3,1,KGID100259,Ishaan,1986-05-01,1,8,0,2010-02-19
260,10,413,1,1,KGID100260,Mitesh,1983-03-30,1,6,0,2013-03-13
261,29,1056,2,3,KGID100261,Yashodhara,1984-07-01,2,5,0,2021-04-20
262,9,392,1,1,KGID100262,Vasudha,1991-07-16,2,5,0,2012-09-10
263,20,754,2,2,KGID100263,Maanav,2000-11-18,2,7,0,2002-02-09
264,9,383,2,2,KGID100264,Yashoda,1980-08-05,2,5,0,2024-09-10
265,23,870,1,3,KGID100265,Ekaraj,1992-12-05,1,5,0,2005-09-10
266,4,164,1,2,KGID100266,Oeshi,1976-12-11,2,8,0,2024-01-31
267,23,873,1,2,KGID100267,Amara,1979-02-09,2,8,0,2023-06-06
268,19,723,3,2,KGID100268,Chanchal,1995-06-15,2,1,0,2006-11-27
269,22,832,2,3,KGID100269,Vrishti,1996-01-11,1,1,0,2014-03-18
270,24,898,1,1,KGID100270,Veda,1996-12-21,1,6,0,2010-08-11
271,2,67,3,3,KGID100271,Krishna,1979-04-16,2,6,0,2021-01-26
272,4,158,2,3,KGID100272,Ranbir,1983-01-13,2,7,0,2016-01-22
273,14,571,1,1,KGID100273,Leela,2000-11-25,1,3,0,2001-12-15
274,21,793,5,1,KGID100274,Caleb,1975-06-30,2,5,0,2024-03-16
275,11,440,6,2,KGID100275,Lakshmi,1978-05-16,2,4,0,2020-10-22
276,4,152,2,3,KGID100276,Max,1980-09-05,2,2,0,2021-11-08
277,17,655,3,3,KGID100277,Yadavi,1984-05-24,1,5,0,2011-02-09
278,7,323,3,3,KGID100278,Harish,2000-05-17,1,6,0,2004-11-04
279,5,249,6,1,KGID100279,Tanmayi,1997-04-11,1,8,0,2009-11-18
280,20,756,2,3,KGID100280,Mohammed,1968-01-28,1,2,0,2025-07-21
281,22,816,6,3,KGID100281,Alka,1970-02-05,2,7,0,2025-05-02
282,4,152,1,2,KGID100282,Faris,1979-01-24,1,8,0,2022-06-24
283,29,1060,1,3,KGID100283,Lajita,1996-07-07,1,3,0,2021-07-25
284,3,114,4,3,KGID100284,Vinaya,1999-12-30,1,5,0,2014-05-10
285,17,661,5,1,KGID100285,Ekapad,1997-03-20,2,5,0,1998-07-24
286,12,514,1,3,KGID100286,Bhavna,1975-07-15,2,3,0,2023-08-29
287,30,1093,1,3,KGID100287,Radha,2001-06-20,1,3,0,2017-06-13
288,18,692,4,3,KGID100288,Harish,2000-10-25,1,1,0,2018-02-14
289,13,543,3,3,KGID100289,Ayush,1982-08-22,2,1,0,2021-07-29
290,31,1118,1,2,KGID100290,Chaaya,1969-02-12,2,4,0,2025-07-21
291,22,832,1,1,KGID100291,Yash,1979-09-28,1,3,0,2019-11-10
292,27,992,2,2,KGID100292,Pranit,1985-08-12,1,6,0,2018-08-10
293,17,654,3,2,KGID100293,Lavanya,1973-05-02,2,3,0,2021-11-13
294,29,1055,2,2,KGID100294,Luke,1988-08-16,1,8,0,2011-02-17
295,24,921,1,1,KGID100295,Tripti,1975-06-13,1,5,0,2023-05-19
296,22,857,1,1,KGID100296,Udyati,1976-03-26,2,6,0,2018-08-15
297,7,327,2,3,KGID100297,Nakul,1998-03-13,2,8,0,2016-03-15
298,28,1019,1,2,KGID100298,Chandani,1970-01-24,2,4,0,2025-07-01
299,19,723,1,2,KGID100299,Zashil,1989-04-11,2,8,0,2014-01-14
300,1,17,4,2,KGID100300,Leena,1983-02-01,1,5,0,2015-10-13
301,22,826,2,2,KGID100301,Lakshmi,1996-07-26,1,4,0,2001-06-07
302,15,592,1,3,KGID100302,Chakrika,1986-12-31,2,5,0,2018-04-29
303,5,244,1,1,KGID100303,Meghana,1968-04-19,2,6,0,2025-07-21
304,18,695,2,2,KGID100304,Chandran,1976-11-19,1,4,0,2022-07-07
305,22,823,2,1,KGID100305,Bhavini,1998-07-07,1,3,0,2018-02-28
306,26,971,2,1,KGID100306,Indira,1993-12-05,1,6,0,2007-01-28
307,17,653,1,3,KGID100307,Zashil,1974-12-31,2,6,0,2021-07-03
308,29,1044,2,3,KGID100308,Laksh,1990-08-07,2,8,0,2019-09-10
309,20,755,1,1,KGID100309,Balveer,1988-11-30,2,5,0,2023-09-19
310,2,55,2,2,KGID100310,Janya,1978-01-21,1,1,0,2020-07-08
311,8,350,2,3,KGID100311,Chakrika,1992-06-15,2,3,0,2004-08-17
312,12,497,1,3,KGID100312,Sai,1978-08-30,1,4,0,2020-04-16
313,17,643,2,2,KGID100313,Jasmit,1972-01-18,1,7,0,2024-03-03
314,26,966,4,3,KGID100314,Nitesh,1985-08-08,1,3,0,2024-03-02
315,17,666,6,2,KGID100315,Vasatika,1976-04-16,2,6,0,2024-04-28
316,25,942,5,2,KGID100316,Hamsini,2000-06-11,2,5,0,2003-09-14
317,9,394,5,2,KGID100317,Faqid,1994-11-24,2,4,0,2012-04-05
318,16,610,4,3,KGID100318,Mekhala,1972-05-04,1,8,0,2025-06-14
319,18,715,2,3,KGID100319,Jasmit,2000-06-10,2,5,0,2019-06-30
320,31,1113,2,2,KGID100320,Aishani,1970-08-16,2,3,0,2024-12-12
321,15,590,5,1,KGID100321,Adweta,1985-10-18,2,8,0,2016-10-29
322,27,982,1,3,KGID100322,Kamya,1987-06-06,2,5,0,2022-05-10
323,12,491,1,3,KGID100323,Aryan,1971-03-28,1,4,0,2024-01-08
324,22,847,1,2,KGID100324,Falak,1988-08-14,1,3,0,2024-06-21
325,7,324,2,2,KGID100325,Dev,1998-09-03,2,4,0,2002-12-21
326,15,589,1,3,KGID100326,Chasmum,1989-02-27,1,2,0,2014-11-02
327,11,476,2,3,KGID100327,Chakradev,1989-08-17,1,3,0,2007-11-20
328,8,361,5,1,KGID100328,Waida,1999-09-23,2,8,0,2004-09-06
329,15,593,4,1,KGID100329,Krishna,1971-07-03,2,2,0,2024-01-09
330,17,687,1,3,KGID100330,Oni,1980-10-07,2,3,0,2018-08-20
331,26,959,1,1,KGID100331,Oeshi,1987-07-11,2,3,0,2020-08-18
332,13,527,3,1,KGID100332,Nikita,1989-10-27,2,5,0,2022-03-24
333,9,396,1,3,KGID100333,Kamala,1999-06-26,2,7,0,2003-12-12
334,5,178,2,1,KGID100334,Warinder,1974-12-10,1,3,0,2022-10-11
335,12,509,1,2,KGID100335,Jhalak,1996-08-21,1,8,0,2001-03-27
