VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
55,27,Saumya Raja,13,M,0
56,28,Saksham Doshi,28,F,0
57,28,Samarth Barad,29,T,0
58,28,Sachi Narasimhan,7,T,0
59,29,Veer Narula,12,T,0
60,29,Xavier Jha,48,M,0
61,29,Yuvraj Kapadia,42,T,0
62,30,Ekaraj Hans,30,M,0
63,30,Lohit Jayaraman,80,M,0
64,30,Gavin Ghose,30,F,0
65,31,Panini Goda,8,T,0
66,32,Fariq Parsa,49,M,0
67,32,Krishna Ganesh,12,M,0
68,33,Parth Kurian,73,F,0
69,33,Ubika Mohan,10,F,0
70,33,Bhanumati Prashad,7,F,0
71,34,Xiti Prasad,27,M,0
72,35,Nicholas Hari,52,T,0
73,36,Panini Koshy,78,F,0
74,36,Vanya Banerjee,42,T,0
75,36,Ayaan Divan,63,M,0
76,37,Pallavi Gandhi,65,M,0
77,37,Zayyan Mittal,55,T,0
78,37,Darika Sabharwal,20,F,0
79,38,Bhavya Sankar,39,M,0
80,38,Patrick Prasad,75,F,0
81,38,Krish Hora,78,F,0
82,39,Ridhi Chopra,66,M,0
83,40,Devansh Oommen,40,M,0
84,40,Wahab Sridhar,42,T,0
85,40,Harrison Andra,14,T,0
86,41,Pushti Nayar,7,T,0
87,41,Hemal Murty,16,T,0
88,42,Yuvraj Pillay,53,M,0
89,43,Eshana Sawhney,11,M,0
90,43,Vedhika Ratta,62,M,0
91,44,Charvi Sibal,36,M,0
92,44,Sanaya D’Alia,70,M,0
93,44,Wridesh Kohli,74,T,0
94,45,Jatin Deshpande,49,F,0
95,46,Udant Lad,60,T,0
96,47,Deepa Bhatia,62,T,0
97,47,Lipika Sampath,74,T,0
98,48,Madhav Banerjee,71,T,0
99,48,Dayamai Thakkar,30,F,0
100,49,Daniel Nath,74,M,0
101,49,Shivansh Kar,48,F,0
102,50,Mahika Bora,66,M,0
103,50,Barkha Hayer,48,F,0
104,50,Gunbir Deep,26,T,0
105,51,Shaurya Kamdar,41,F,0
106,51,Aditya Pathak,33,M,0
107,51,Manbir Puri,29,F,0
108,52,Charles Dalal,46,F,0
109,53,Chasmum Gera,27,F,0
110,53,Gaurav Sheth,54,T,0
111,54,Fitan Dara,69,F,0
112,54,Yashodhara Kar,62,T,0
113,54,Varsha Mahal,61,F,0
114,55,Meera Yadav,34,M,0
115,55,Devansh Venkataraman,35,M,0
116,55,Sarthak Dalal,19,F,0
117,56,Frado Dash,57,M,0
118,56,Januja Garg,5,M,0
119,56,Aadi Kothari,51,T,0
120,57,Yashvi Kadakia,31,T,0
121,58,Abha Raj,63,T,0
122,59,Reyansh Pradhan,75,M,0
123,59,Oni Dube,35,M,0
124,59,Radha Raghavan,46,T,0
125,60,Anjali Dhingra,28,T,0
126,61,Damini Suri,11,T,0
127,61,Ikshita Manda,29,M,0
128,61,Hardik Bava,9,M,0
129,62,Jonathan Dhar,63,M,0
130,63,Anya Sangha,19,M,0
131,64,Advaith Samra,30,T,0
132,65,Yash Wable,21,M,0
133,65,Saumya Ganguly,80,M,0
134,66,Isaiah Nigam,8,F,0
135,67,Tanay Agate,80,M,0
136,67,Teerth Mody,57,M,0
137,68,Hredhaan Ahluwalia,13,F,0
138,68,Quincy Ratti,61,T,0
139,68,Aditya Chaudhuri,49,F,0
140,69,Upma Rana,6,T,0
141,69,Chandani Patla,17,T,0
142,69,Qabil Yadav,51,F,0
143,70,Radha Ahluwalia,43,M,0
144,70,Rushil Choudhry,56,M,0
145,71,Azad Dyal,37,F,0
146,71,Varenya Lata,55,F,0
147,72,Imaran Chokshi,38,T,0
148,72,Jonathan Dugal,35,T,0
149,72,Xiti Arya,75,M,0
150,73,Michael Vaidya,57,F,0
151,74,Rushil Som,32,F,0
152,75,Kevin Rattan,7,T,0
153,75,Anusha Handa,73,T,0
154,76,Pooja Srinivas,16,M,0
155,76,Yashvi Sane,29,F,0
156,77,Omya Koshy,80,F,0
157,78,Ati Chaudhuri,58,T,0
158,78,Qasim Krishnan,41,T,0
159,78,Januja Natt,53,F,0
160,79,Wazir Majumdar,10,F,0
161,79,Leena Chahal,22,F,0
162,79,Kalpit Dara,55,F,0
163,80,Mitesh Bassi,57,M,0
164,80,Rehaan Sahota,48,M,0
165,80,Idika Pau,36,M,0
166,81,Ranveer Rao,73,T,0
167,81,Yochana Borde,74,T,0
168,81,Raksha Upadhyay,10,T,0
169,82,Nathaniel Kamdar,75,F,0
170,82,Yochana Shah,44,T,0
171,82,Chavvi Kannan,53,T,0
172,83,Charan Kothari,57,T,0
173,84,Chaitaly Nair,46,F,0
174,85,Riya Kannan,55,T,0
175,86,Pratyush Sharaf,69,F,0
176,86,Patrick Gulati,73,T,0
177,87,Harish Vyas,66,F,0
178,87,Advik Chaudhry,34,F,0
179,87,Leena Bail,49,T,0
180,88,Sachi Gade,62,F,0
181,89,Aarav Kapur,54,T,0
182,90,Vyanjana Gara,37,T,0
183,90,Udarsh Chaudry,51,F,0
184,91,Pratyush Sandal,12,F,0
185,91,Charvi Mangat,45,F,0
186,91,Hemang Madan,79,T,0
187,92,Sanya Sridhar,55,M,0
188,93,Ira Nagar,41,M,0
189,94,Waida Walia,7,F,0
190,94,Leena Chacko,56,M,0
191,94,Theodore Chahal,5,F,0
192,95,Chaitaly Sharma,6,F,0
193,95,Oviya Kibe,76,M,0
194,95,Udarsh Bhalla,60,F,0
195,96,Vansha Dugar,77,F,0
196,97,Geetika Sawhney,28,M,0
197,97,Bhavini Choudhry,17,T,0
198,97,Darpan Balay,75,M,0
199,98,Anita Chanda,78,M,0
200,99,Qarin Brahmbhatt,38,T,0
201,100,Ayaan Khatri,14,F,0
202,100,Nicholas Chhabra,80,F,0
203,101,Wridesh Luthra,19,F,0
204,101,Chaitanya Sule,16,T,0
205,102,Divya Raman,24,F,0
206,102,Kai Chatterjee,72,M,0
207,103,Vincent Kale,15,F,0
208,103,Naveen Thaker,55,M,0
209,104,Sathvik Borde,7,M,0
210,104,Widisha Chatterjee,47,F,0
211,104,Luke More,61,T,0
212,105,Aarna Solanki,28,F,0
213,105,Riya Dey,80,F,0
214,105,Vinaya Baral,61,T,0
215,106,Adya Basak,59,M,0
216,107,Girik Palla,12,M,0
217,107,Upadhriti Warrior,74,F,0
218,107,Ikbal Chada,61,F,0
219,108,Ishwar Mallick,53,F,0
220,109,Tanay Bhagat,24,M,0
221,110,Lucky Biswas,26,F,0
222,110,Nidhi Bumb,10,M,0
223,111,Chameli Gala,78,F,0
224,111,Ikshita Saini,5,T,0
225,111,Vaishnavi Wason,51,T,0
226,112,Maanav Naik,75,F,0
227,113,Aarush Seshadri,16,F,0
228,113,Shivani Chatterjee,40,F,0
229,114,Amol Mittal,52,T,0
230,115,Gautami Comar,25,T,0
231,115,Tara Sangha,16,F,0
232,115,Peter Gaba,14,F,0
233,116,Harish Sawhney,54,M,0
234,117,Kavya Kapur,60,M,0
235,118,Oeshi Bali,35,T,0
236,119,Charan Sanghvi,51,T,0
237,120,Ekantika Jani,21,M,0
238,120,Girik Bal,27,F,0
239,121,Chameli Hari,41,M,0
240,122,Lucky Mandal,20,M,0
241,123,Vidhi Bose,23,M,0
242,123,Oni Prashad,61,F,0
243,124,Jairaj Hans,29,M,0
244,124,Arin Vasa,59,M,0
245,125,Vasatika Iyengar,52,T,0
246,125,Ijaya Menon,50,T,0
247,125,Warhi Sarin,32,M,0
248,126,Samesh Sura,70,M,0
249,127,Nimrat Memon,24,M,0
250,128,Elijah Kale,12,F,0
251,128,Kamya Dhillon,55,T,0
252,128,Jason Andra,67,F,0
253,129,Dominic Rajan,45,T,0
254,130,Chandran Tak,75,F,0
255,130,Chakradhar Maharaj,50,M,0
256,131,Warjas Bail,9,T,0
257,131,Andrew Agrawal,71,F,0
258,132,Upma Chandran,19,T,0
259,133,Dhriti Tak,66,M,0
260,133,Maya Misra,11,M,0
261,134,Henry Naidu,45,T,0
262,134,Upkaar Garde,33,F,0
263,135,Falan Lalla,57,T,0
264,135,Ladli Madan,31,F,0
265,136,Avni Nagy,62,F,0
266,136,Upkaar Chanda,33,T,0
267,136,Chaman Butala,39,F,0
268,137,Vinaya Cheema,49,M,0
269,137,Sathvik Wable,41,T,0
270,137,Devika Setty,57,F,0
271,138,Arunima Sampath,47,T,0
272,139,Vamakshi Wali,22,M,0
273,140,Yadavi Sankar,11,M,0
274,140,Chatresh Sastry,16,T,0
275,140,Kala Chaudhari,67,F,0
276,141,Chandresh Kothari,47,F,0
277,142,Dominic Wali,36,T,0
278,142,Anya Kara,12,M,0
279,143,Aarush Chandra,61,T,0
280,144,Gaurika Bail,45,T,0
281,145,Aarav Suresh,11,M,0
282,146,Indali Kurian,54,T,0
283,146,Zehaan Patla,37,M,0
284,147,Manbir Roy,61,M,0
285,147,Lucky Parikh,44,T,0
286,148,Mahika Sahni,68,F,0
287,148,Dayamai Halder,45,M,0
288,149,Wishi Din,24,T,0
289,149,Mason Virk,57,M,0
290,150,Chatresh Suresh,52,T,0
291,151,Anika Dhar,54,T,0
292,151,Rachana Buch,56,F,0
293,151,Theodore Balay,56,T,0
294,152,Liam Iyengar,57,T,0
295,153,Lakshit Vyas,72,M,0
296,154,Unnati Salvi,31,M,0
297,154,Triya Bala,66,F,0
298,154,Oviya Chakrabarti,15,T,0
299,155,Chatura Chad,13,T,0
300,155,Anamika Chhabra,66,F,0
301,155,Gunbir Mannan,7,F,0
302,156,Vedhika Iyer,7,T,0
303,156,Ekalinga Acharya,24,T,0
304,156,Jai Venkatesh,55,F,0
305,157,Qarin Keer,57,F,0
306,157,Reva Dasgupta,80,F,0
307,157,Madhav Bains,13,F,0
308,158,Hredhaan Shetty,26,T,0
309,159,Tara Malhotra,62,F,0
310,160,Yochana Bhatnagar,62,T,0
311,160,Max Pandey,11,T,0
312,161,Netra Bir,49,T,0
313,161,Ayushman Dutt,60,F,0
314,162,Leena Salvi,73,M,0
315,163,Krishna Deol,46,T,0
316,163,Rohan Krishnan,46,M,0
317,163,Raksha Mangal,28,T,0
318,164,Nikita Bora,20,F,0
319,164,Qasim Wable,79,F,0
320,165,Harrison Dalal,6,F,0
321,166,Zarna Tella,31,F,0
322,167,Advika Iyer,57,T,0
323,167,Daniel Dewan,71,F,0
324,167,Forum Bhatia,41,M,0
325,168,Balendra Taneja,73,T,0
326,168,Inaya Sankar,14,M,0
327,168,Chavvi Kari,43,T,0
328,169,Jeremiah Sani,72,T,0
329,170,George Anne,79,M,0
330,170,Nitara Yadav,33,F,0
331,171,Reva Gole,65,F,0
332,171,Caleb Murthy,22,T,0
333,171,Yash Master,45,F,0
334,172,Samesh Talwar,72,F,0
335,172,Thomas Sawhney,31,F,0
336,172,Jeevika Master,56,M,0
337,173,Kashish Dhar,53,F,0
338,174,Leena Mital,9,M,0
339,175,Dalaja Balay,10,F,0
340,175,Atharv Nayar,68,F,0
341,175,Tarak Bala,38,T,0
342,176,Ubika Samra,59,T,0
343,177,Avni Mahal,37,M,0
344,178,Advik Dash,22,M,0
345,178,Ekani Lalla,39,F,0
346,179,Balhaar Parmer,76,F,0
347,179,Tejas Rege,24,T,0
348,179,Fariq Malhotra,54,F,0
349,180,Qarin Toor,47,M,0
350,180,Edhitha Barman,55,F,0
351,180,Darsh Lad,22,M,0
352,181,Warjas Jani,54,F,0
353,182,Gautami Reddy,51,M,0
354,183,Bina Doctor,50,F,0
355,183,Hitesh Kakar,17,M,0
356,183,Yasti Trivedi,21,F,0
357,184,Edhitha Luthra,58,M,0
358,184,Chaaya Kohli,32,F,0
359,184,Xavier Pathak,53,M,0
360,185,Janaki Buch,72,M,0
361,185,Yashasvi Bose,55,T,0
362,185,Veda Karpe,21,M,0
363,186,Nilima Sama,7,T,0
364,187,Ojas Bora,6,T,0
365,187,Yutika Wagle,48,F,0
366,188,Jagat Nayar,38,F,0
367,188,Hritik Bath,69,M,0
368,188,Isha Sen,78,F,0
369,189,Abhimanyu Pingle,7,M,0
370,189,Ladli Nagi,74,M,0
371,190,Zarna Vohra,42,M,0
372,191,Zilmil Mall,15,M,0
373,192,Udarsh Gara,46,M,0
374,192,Aashi Cherian,38,F,0
375,193,Pooja Saxena,28,F,0
376,193,Sudiksha Merchant,62,M,0
377,193,Jagdish Saxena,70,F,0
378,194,Sudiksha Varghese,23,M,0
379,194,Divya Barad,35,F,0
380,195,Upma Doshi,74,T,0
381,196,Zaitra Kala,38,M,0
382,196,Radha Bhavsar,49,M,0
383,197,Wahab Palla,69,F,0
384,198,Manya Parikh,17,T,0
385,198,Chakrika Char,64,T,0
386,198,Isaiah Mani,76,F,0
387,199,Ucchal Nagar,61,F,0
388,200,Amrita Tripathi,65,M,0
389,200,Nilima Bhat,21,M,0
390,200,Advika Nadkarni,80,T,0
391,201,Ojas Wason,79,M,0
392,201,Imaran Narayan,54,T,0
393,202,Veer Mannan,41,M,0
394,203,Balendra Bahri,65,T,0
395,203,Yachana Rao,51,T,0
396,204,Faraj Borah,52,T,0
397,204,Anmol Aurora,68,T,0
398,204,Girish Raman,17,F,0
399,205,Krisha Manne,66,T,0
400,205,Girik Kapadia,34,F,0
401,206,Anay Taneja,62,M,0
402,207,Gaurangi Dhawan,8,F,0
403,207,Girish Gara,71,T,0
404,207,Vrishti Krish,55,T,0
405,208,Geetika Dora,64,F,0
406,208,Ekanta Ray,48,F,0
407,208,Amrita Kadakia,37,M,0
408,209,Zinal Dara,41,F,0
409,210,Radhika Menon,29,F,0
410,210,Ekantika Prabhu,10,F,0
411,211,Urmi Shere,55,F,0
412,211,Ganga Deshmukh,38,M,0
413,211,Urvi Anne,25,F,0
414,212,Ganga Chandra,26,T,0
415,212,Upadhriti Dugar,43,F,0
416,213,Jhalak Rau,43,M,0
417,213,Samaksh Brahmbhatt,9,F,0
418,214,Shaurya Ganguly,31,T,0
419,214,Vincent Kalita,29,M,0
420,214,Manan Dhar,29,M,0
421,215,Xiti Dalal,68,F,0
422,216,Tanish Ganesan,59,F,0
423,217,Rayaan Raja,22,M,0
424,218,Abdul Mukherjee,37,T,0
425,218,Girindra Pillay,46,T,0
426,218,Yadavi Arya,74,M,0
427,219,Urishilla Sha,74,M,0
428,219,Oscar Solanki,46,T,0
429,219,Balvan Pingle,60,T,0
430,220,Edhitha Gara,62,M,0
431,220,Zaitra Atwal,75,F,0
432,221,Sachi Basu,29,M,0
433,221,Rushil Tiwari,13,F,0
434,222,Gautam Gopal,9,F,0
435,222,Quincy Nadkarni,56,F,0
436,223,Arya Dey,16,F,0
437,223,Odika Kara,43,M,0
438,224,Isha Patla,46,F,0
439,224,Shivani Garde,17,T,0
440,225,Advika Balay,77,M,0
441,225,Zansi Grewal,40,T,0
442,225,Logan Sibal,64,M,0
443,226,Vaishnavi Natt,67,T,0
444,226,Harish Grover,57,T,0
445,227,Tanmayi Saran,43,T,0
446,227,Urvashi Kohli,16,T,0
447,228,Nandini Balakrishnan,39,F,0
448,228,Yauvani Ganesan,80,T,0
449,229,Tara Randhawa,32,T,0
450,229,Triveni Acharya,47,T,0
451,230,Warinder Jani,14,T,0
452,230,Gautam Konda,56,T,0
453,230,Kavya Ahluwalia,61,M,0
454,231,Mugdha Narain,38,M,0
455,231,Panini Ramesh,56,T,0
456,231,Idika Suresh,42,M,0
457,232,Yachana Agarwal,5,F,0
458,233,Pranit Sandal,53,T,0
459,234,Udyati Butala,72,F,0
460,234,Harrison Ravel,8,T,0
461,235,Advay Sunder,22,M,0
462,235,Pahal Bhagat,35,T,0
463,235,Pavani Kuruvilla,20,F,0
464,236,Isaac Gola,23,F,0
465,236,Leela Buch,25,T,0
466,236,Abhimanyu Nazareth,52,M,0
467,237,Pavani Nazareth,40,T,0
468,237,Arjun Loke,7,M,0
469,238,Girindra Date,72,F,0
470,239,Eta Pradhan,68,F,0
471,239,Manan Chaudhuri,28,F,0
472,239,Yauvani Brar,60,M,0
473,240,Yoshita Zacharia,34,M,0
474,240,Chandran Prasad,41,T,0
475,241,Mohini Golla,47,T,0
476,242,Turvi Nadkarni,51,M,0
477,242,Timothy Kar,5,F,0
478,242,Ekta Kant,57,F,0
479,243,Advik Oza,67,F,0
480,243,Ekaja Pal,30,T,0
481,244,Bachittar Brar,41,T,0
482,244,Hemani Chacko,5,F,0
483,245,Wahab Prashad,49,T,0
484,245,Kritika Dasgupta,15,T,0
485,246,Nathan Rattan,36,T,0
486,247,Umang Raval,53,F,0
487,248,Nirja Gulati,16,M,0
488,249,Gavin Prabhakar,66,T,0
489,249,Lopa Vaidya,12,T,0
490,250,Chaaya Bhattacharyya,54,M,0
491,251,Turvi Boase,32,T,0
492,252,Abha Yogi,19,T,0
493,253,Yasti Sarraf,76,M,0
494,254,Jeevika Sachar,35,F,0
495,255,Forum Borah,16,F,0
496,255,Vyanjana Konda,68,M,0
497,255,Hema Merchant,45,F,0
498,256,Manbir Vig,63,M,0
499,256,Atharv Kant,78,T,0
500,256,Janani Manne,15,T,0
501,257,Manbir Arora,51,F,0
502,258,Parth Sule,23,M,0
503,258,Akshay Bhattacharyya,22,M,0
504,258,Umang More,28,M,0
505,259,Wishi Sharaf,48,M,0
506,259,Vedant Jain,54,M,0
507,260,Yash Kari,61,M,0
508,261,Darsh Johal,69,M,0
509,261,Yagnesh Sood,59,F,0
510,262,Charita Andra,14,F,0
511,262,Isaac Savant,69,F,0
512,262,Tanmayi Acharya,9,T,0
513,263,Harita Maharaj,7,M,0
514,263,Ria Choudhury,14,M,0
515,264,Rishi Chopra,14,T,0
516,264,Tanay Mohanty,30,T,0
517,264,Ekaja Wali,37,T,0
518,265,Zaitra Som,54,F,0
519,266,Irya Murty,21,F,0
520,266,Darika Sandal,12,F,0
521,266,Omisha Ahluwalia,14,F,0
522,267,Lavanya Nanda,27,M,0
523,268,Madhavi Sur,39,M,0
524,268,Ati Prashad,31,F,0
525,268,Harrison Bhalla,54,T,0
526,269,Matthew Mistry,16,F,0
527,270,Dipta Patel,45,T,0
528,270,Tanish Gour,71,F,0
529,270,Upadhriti Kari,70,F,0
530,271,Logan Dar,61,M,0
531,272,Yauvani Prakash,75,T,0
532,272,Rajeshri Balay,7,F,0
533,273,Yochana Chahal,62,T,0
534,273,Rayaan Bora,46,T,0
535,274,Chaaya Ahuja,38,T,0
536,274,Anirudh Anand,70,F,0
537,274,Ekantika Sane,57,M,0
538,275,Michael Gulati,67,M,0
539,276,Chavvi Gade,62,M,0
540,276,Anika Kaul,67,F,0
541,276,Isha Bala,35,T,0
542,277,Lajita Bawa,14,F,0
543,278,Girik Gill,62,T,0
544,278,Nicholas Kadakia,11,M,0
545,279,Vanya Kumer,79,F,0
546,279,Tanmayi Babu,51,F,0
547,280,Charita Karnik,37,T,0
548,280,Madhavi Sinha,36,T,0
549,280,Anvi Naik,60,F,0
550,281,Logan Singhal,48,M,0
551,282,Zilmil Doshi,21,T,0
552,282,Janya Choudhary,21,T,0
553,282,Ayushman Tank,56,F,0
554,283,Upma Banerjee,27,M,0
555,283,Nikita Batra,22,M,0
556,284,Isaiah Soni,8,T,0
557,284,Ojasvi Yadav,26,M,0
558,285,Gopal Sridhar,28,F,0
559,285,Rohan Dass,61,F,0
560,285,Yutika Dayal,38,M,0
561,286,Turvi Venkatesh,15,F,0
562,286,Karan Narang,66,F,0
563,287,Bahadurjit Khanna,73,F,0
564,288,Tanish Setty,11,F,0
565,288,Ria Dalal,75,T,0
566,289,Vinaya Shan,46,M,0
567,289,Hema Venkataraman,26,F,0
568,289,Dev Pau,17,M,0
569,290,Rajata Butala,8,M,0
570,291,Rushil Pandya,21,M,0
571,291,Champak Walia,43,M,0
572,292,Madhavi Vig,77,M,0
573,292,Vamakshi Sidhu,39,F,0
574,293,Mahika Dutta,30,T,0
575,293,Mahika Hari,54,F,0
576,294,Sachi Dhar,17,F,0
577,294,Falak Apte,73,M,0
578,295,Anita Baria,75,T,0
579,295,Aadhya Chowdhury,7,T,0
580,296,Warda Sankaran,22,T,0
581,296,Dakshesh Cheema,79,T,0
582,297,Timothy Saraf,78,M,0
583,297,Hemang Sura,19,F,0
584,298,Oviya Ramesh,37,T,0
585,299,Atharv Kalita,14,T,0
586,299,Arjun Narasimhan,10,M,0
587,299,Brinda Sachar,42,M,0
588,300,Aradhana Sehgal,46,F,0
589,301,Nandini Pall,14,T,0
590,301,Xalak Chakraborty,32,F,0
591,301,Indira Yohannan,65,T,0
592,302,Indali Nazareth,60,T,0
593,302,Janaki Dutta,28,F,0
594,303,Pranav Rao,54,T,0
595,303,Rushil Chander,41,T,0
596,304,Hemang Memon,40,M,0
597,304,Ekiya Kar,33,M,0
598,305,Yagnesh Bail,23,M,0
599,305,Reva Sachdeva,27,T,0
600,305,Nitara Grewal,24,F,0
601,306,Janya Keer,29,F,0
602,306,Ishanvi Bose,61,M,0
603,307,Ijaya Kapur,47,M,0
604,307,Amruta Bera,43,M,0
605,307,Raksha Tank,47,M,0
606,308,Vansha Divan,79,M,0
607,308,Irya Bhattacharyya,23,M,0
608,308,Zayyan Bala,33,T,0
609,309,Ishita Dar,53,M,0
610,310,Praneel Golla,7,T,0
611,310,Warda Dar,40,M,0
612,310,Gaurav Chandra,66,T,0
613,311,Qarin Lad,63,F,0
614,311,Sai Karan,79,M,0
615,312,Aayush Narain,25,M,0
616,312,Damini Bala,67,F,0
617,313,Kavya Goel,73,F,0
618,313,Peter Tripathi,5,M,0
619,314,Zarna Ganesh,52,F,0
620,314,Widisha Hans,44,M,0
621,314,Geetika Sha,62,T,0
622,315,Raghav Raval,62,F,0
623,316,Brinda Sandhu,47,M,0
624,317,Lopa Mohan,73,T,0
625,317,Bhavna Bhakta,24,M,0
626,317,Raghav Chakraborty,14,M,0
627,318,Charles Saraf,8,F,0
628,318,Yashoda Prabhakar,50,M,0
629,319,Bina Agrawal,44,F,0
630,320,Yatin Kuruvilla,21,T,0
631,321,Odika Purohit,42,F,0
632,322,Ekavir Contractor,24,M,0
633,323,Oliver Kunda,6,F,0
634,323,Bhavani Yadav,37,T,0
635,324,Upasna Srinivas,70,T,0
636,324,Isaac Karnik,9,F,0
637,324,Lipika Gour,37,T,0
638,325,Riya Barman,10,T,0
639,326,Zashil Gill,18,F,0
640,327,Ridhi Boase,35,M,0
641,327,Bhavna Dyal,79,T,0
642,328,Balvan Dhar,60,T,0
643,328,Vivaan Ahuja,76,T,0
644,329,Libni Mandal,26,F,0
645,329,Shivani Khanna,65,F,0
646,329,Zashil Pai,63,T,0
647,330,Bhavini Ghosh,42,F,0
648,330,Aarini Dyal,32,T,0
649,330,Ansh Sankaran,11,F,0
650,331,Lipika Sheth,30,T,0
651,331,Geetika Nanda,28,M,0
652,332,Robert Patla,13,F,0
653,333,Charita Sachar,77,M,0
654,333,Ryan Kalla,37,F,0
655,334,Anjali Dugal,68,T,0
656,334,Rudra Dora,21,F,0
657,334,Edhitha Sidhu,5,M,0
658,335,Frederick Bail,45,F,0
659,336,Dominic Patil,74,T,0
660,336,Sanya Soman,28,T,0
661,337,Nihal Sagar,13,F,0
662,337,Nimrat Dutt,78,F,0
663,337,Avni Krish,63,T,0
664,338,Ridhi Gopal,57,T,0
665,338,Anmol Swamy,50,T,0
666,339,Charita Ramesh,25,F,0
667,339,Indrajit Hegde,56,M,0
668,339,Brinda Chacko,80,M,0
669,340,Zinal Bajwa,64,M,0
670,340,Eiravati Ganesan,60,F,0
671,341,Chasmum Rai,19,F,0
672,342,Vrinda Manda,26,T,0
673,342,Fiyaz Sengupta,7,F,0
674,343,Warjas Chahal,16,T,0
675,343,Aditya Arya,40,F,0
676,343,Ekavir Dugal,55,T,0
677,344,Viraj Kade,75,F,0
678,344,Fariq Ram,25,F,0
679,344,Reyansh Soni,68,M,0
680,345,Jatin Borra,39,F,0
681,345,Rachit Nagy,64,M,0
682,345,Nicholas Rana,6,M,0
683,346,Wakeeta Padmanabhan,28,T,0
684,346,Qushi Buch,17,F,0
685,346,Advik Chakrabarti,31,F,0
686,347,Charita Suresh,75,F,0
687,348,Lekha Saini,74,M,0
688,349,Urmi Doctor,78,M,0
689,349,Geetika Hora,15,T,0
690,350,Hitesh Bhavsar,42,T,0
691,351,Agastya Morar,8,T,0
692,351,Hamsini Mukhopadhyay,41,T,0
693,351,Jairaj Dayal,38,M,0
694,352,Andrew Sekhon,64,T,0
695,352,Omisha Koshy,21,F,0
696,352,Eta Kaur,48,M,0
697,353,Leena Divan,15,F,0
698,353,Finn Wadhwa,30,M,0
699,354,Udant Aggarwal,63,T,0
700,354,Ishani Subramanian,49,F,0
701,355,Raghav Dara,44,M,0
702,355,Darsh Hayer,24,M,0
703,355,Yuvraj Puri,17,M,0
704,356,Farhan Pillay,53,T,0
705,356,Manbir Sekhon,6,F,0
706,356,Naksh Sawhney,70,T,0
707,357,Charles Narain,38,T,0
708,357,Jyoti Dhar,43,F,0
709,357,Keya Bal,38,F,0
710,358,Harsh Virk,51,F,0
711,358,Wahab Chanda,31,F,0
712,359,Waida Rattan,43,M,0
713,360,Nathan D’Alia,76,M,0
714,360,Utkarsh Khatri,5,M,0
715,360,Arjun Ben,40,T,0
716,361,Ekantika Ram,11,F,0
717,361,Anirudh Uppal,23,T,0
718,362,Balendra Joshi,66,F,0
719,362,Vyanjana Amble,79,T,0
720,362,Faris Pillai,62,T,0
721,363,Kavya Vaidya,36,M,0
722,363,Nathaniel Jaggi,57,M,0
723,364,Bhavika Seth,11,M,0
724,364,Sanaya Vala,31,T,0
725,364,Samarth Goyal,6,F,0
726,365,Tanish Mitter,12,M,0
727,365,Ubika Bhagat,65,T,0
728,366,Xalak Rama,39,M,0
729,366,Tanvi Raman,28,F,0
730,367,Aadi Balasubramanian,54,M,0
731,367,Advay Mahal,11,T,0
