AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
145,63,Niharika Munshi,25,T,A2
146,63,Fariq Bose,25,M,A3
147,63,Girik Gandhi,29,M,A4
148,64,Varsha Tank,18,F,A1
149,64,Nidra Atwal,52,M,A2
150,65,Parth Borde,38,T,A1
151,65,Kiaan Varkey,40,M,A2
152,65,Charan Sami,63,T,A3
153,66,Jacob Mannan,63,M,A1
154,67,Ubika Sura,24,F,A1
155,67,Ishani Ahuja,49,T,A2
156,68,Vyanjana Hora,43,M,A1
157,68,Yoshita Dube,31,F,A2
158,68,Jatin Sura,46,M,A3
159,69,Ikbal Sarna,25,T,A1
160,70,Bhavani Baria,61,M,A1
161,71,Oviya Suresh,21,F,A1
162,71,Joshua Nair,53,M,A2
163,72,Charles Oommen,52,M,A1
164,72,Abhiram Saraf,36,M,A2
165,72,Bimala Manda,58,T,A3
166,73,Zaid Mand,25,M,A1
167,74,Yadavi Golla,48,F,A1
168,75,Pooja Badami,58,T,A1
169,75,Gavin Behl,17,M,A2
170,75,Nikita Vohra,50,F,A3
171,76,Daksha Choudhary,35,T,A1
172,77,Champak Gopal,61,M,A1
173,77,Aadi Ben,32,M,A2
174,78,Isaac Chatterjee,62,F,A1
175,78,Kalpit Narula,55,F,A2
176,79,Rayaan Hans,64,T,A1
177,79,Hardik Borde,44,T,A2
178,80,Jacob Sarin,36,T,A1
179,80,Vasudha Saini,48,M,A2
180,80,Ojas Mahal,41,F,A3
181,81,Madhavi Rattan,41,F,A1
182,82,Amrita Dani,60,M,A1
183,82,Udarsh Bath,36,F,A2
184,82,Bishakha Baral,53,F,A3
185,83,Jack Agarwal,22,T,A1
186,83,Jyoti Nair,53,F,A2
187,84,Advaith Parekh,26,M,A1
188,84,Ati Goda,35,F,A2
189,84,Amol Yogi,43,F,A3
190,85,Amruta Jani,54,T,A1
191,85,Nachiket Sehgal,38,M,A2
192,85,Radha Pillay,19,M,A3
193,86,Pranit Manda,19,M,A1
194,86,Dayita Gaba,64,T,A2
195,86,Meera Guha,16,M,A3
196,86,Luke Bora,46,T,A4
197,87,Agastya Bassi,64,T,A1
198,87,Yuvraj Chacko,19,F,A2
199,87,Luke Arya,51,F,A3
200,87,Hitesh Nigam,56,M,A4
201,88,Garima Srinivas,59,T,A1
202,88,Yagnesh Bhalla,62,M,A2
203,88,Jatin Bail,44,F,A3
204,88,Harshil Minhas,65,F,A4
205,89,Utkarsh Sane,36,T,A1
206,89,Manan Pandit,50,T,A2
207,90,Ishanvi Bose,43,M,A1
208,90,Jagat Patel,50,M,A2
209,90,Caleb Dora,50,F,A3
210,91,Jyoti Lanka,46,M,A1
211,91,Aarnav Dixit,33,F,A2
212,92,Isaiah Sane,27,T,A1
213,92,Maanav Chana,48,M,A2
214,93,Panini Srivastava,51,F,A1
215,93,Gauri Devi,36,T,A2
216,94,Janaki Agate,37,T,A1
217,94,Anay Patil,53,F,A2
218,94,Kiaan Choudhary,44,M,A3
219,95,Jacob Dhar,34,T,A1
220,95,Atharv Samra,25,F,A2
221,96,Manan Pau,17,T,A1
222,96,Farhan Konda,54,M,A2
223,96,Advik Saha,24,M,A3
224,96,Qabil Singhal,21,M,A4
225,97,Yahvi Dyal,21,T,A1
226,97,Meghana Sampath,61,T,A2
227,97,Aarna Thaker,41,M,A3
228,98,Jeremiah Kakar,20,T,A1
229,99,Vansha Munshi,31,M,A1
230,99,Lajita Gala,24,F,A2
231,99,Kamya Samra,20,F,A3
232,99,Anamika Chopra,50,F,A4
233,100,Siddharth Apte,16,F,A1
234,101,Chanakya Murty,46,M,A1
235,101,Dayamai Anand,35,T,A2
236,102,Nikita Thakur,33,T,A1
237,102,Yadavi Doctor,43,M,A2
238,102,Lavanya Sood,63,F,A3
239,102,Bina Edwin,44,M,A4
240,103,Sara Deep,52,M,A1
241,103,Bina Parsa,62,M,A2
242,104,Wishi Chandra,19,T,A1
243,104,Dipta Gara,60,M,A2
244,104,Neel Bir,26,T,A3
245,104,Januja Pandit,17,F,A4
246,105,Bhavini Rattan,18,F,A1
247,105,Kai Sastry,34,M,A2
248,105,Yauvani Murthy,47,M,A3
249,106,Yash Anand,20,M,A1
250,106,Henry Mannan,50,F,A2
251,106,Nathan Rastogi,56,T,A3
252,107,Hritik Ranganathan,18,T,A1
253,107,Ryan Ratti,31,F,A2
254,107,Dhruv Nadig,48,F,A3
255,108,Balvan Dugal,24,F,A1
256,108,Madhav Kala,27,F,A2
257,108,Azad Rai,22,F,A3
258,109,Arin Sampath,40,F,A1
259,110,Siya Saini,42,T,A1
260,110,Aashi Gour,27,M,A2
261,111,Rajeshri Pant,43,M,A1
262,112,Akshay Dora,48,T,A1
263,112,Manbir Tata,46,M,A2
264,113,Tejas Guha,57,M,A1
265,113,Ojas Purohit,62,M,A2
266,113,Ijaya Kadakia,63,T,A3
267,114,Yadavi Dash,18,M,A1
268,114,Tamanna Sachdev,48,M,A2
269,115,Lakshmi Mane,40,T,A1
270,115,Bhanumati Chaudhary,18,M,A2
271,115,Hemang Chakraborty,53,T,A3
272,116,Bimala Salvi,25,M,A1
273,116,Udant Sha,52,T,A2
274,116,Ishwar Hayre,41,F,A3
275,116,Jeet Panchal,39,M,A4
276,117,Amrita Lalla,34,M,A1
277,118,Atharv Dube,61,M,A1
278,118,Zilmil Nadkarni,58,T,A2
279,118,Onkar Sani,52,T,A3
280,119,Madhavi Ghose,41,M,A1
281,119,Eesha Varughese,39,T,A2
282,119,Rajeshri Kashyap,33,F,A3
283,119,Jonathan Thaman,45,T,A4
284,120,Advay Dua,39,M,A1
285,120,Farhan Raja,50,T,A2
286,120,Kalpit Setty,16,T,A3
287,121,Kritika Lad,57,T,A1
288,121,Anvi Butala,53,M,A2
289,121,Arin Chauhan,31,M,A3
290,122,Pranit Chander,62,T,A1
291,122,Warda Pathak,44,M,A2
292,122,Mahika Chaudhuri,51,F,A3
293,123,Shravya Dyal,24,T,A1
294,123,Chanchal Anne,43,F,A2
295,123,Azad Dalal,59,F,A3
296,123,Idika Sule,42,M,A4
297,124,Tarak Patla,30,T,A1
298,124,Teerth Balan,60,M,A2
299,124,Lakshit Kannan,65,M,A3
300,125,Reyansh Krishna,26,M,A1
301,125,Rudra Mand,56,T,A2
302,126,Sanaya Sampath,54,F,A1
303,126,Eiravati Chokshi,23,T,A2
304,126,Pushti Iyengar,26,M,A3
305,126,Kashvi Bhatt,40,M,A4
306,127,Mitali Balan,61,T,A1
307,127,Pranit Naidu,17,T,A2
308,128,Advay Narasimhan,31,M,A1
309,129,Simon Vyas,46,M,A1
310,129,Harshil Mall,39,F,A2
311,129,Oviya Saran,32,T,A3
312,130,Jagdish Dash,46,M,A1
313,131,Bhavani Deep,20,M,A1
314,131,Balhaar Walla,43,F,A2
315,132,Charvi Maharaj,56,F,A1
316,133,Wakeeta Dara,42,T,A1
317,133,Harshil Balakrishnan,45,F,A2
318,134,Rayaan Pillay,18,T,A1
319,134,Charles Lad,63,F,A2
320,135,Lakshit Sharma,31,M,A1
321,135,Jonathan Nagar,36,T,A2
322,135,Odika Sekhon,34,T,A3
323,136,Xavier Jha,17,T,A1
324,136,Falan Talwar,64,T,A2
325,136,Simon Arya,58,T,A3
326,137,Yamini Cherian,46,T,A1
327,137,Theodore Patla,24,M,A2
328,137,Sneha Varghese,18,M,A3
329,138,Damyanti Chaudry,56,T,A1
330,138,Triya Chhabra,46,M,A2
331,138,Wridesh Babu,51,F,A3
332,139,Indira Lanka,28,F,A1
333,139,Frado Pandya,45,F,A2
334,140,Lavanya Sami,20,F,A1
335,140,Chaitaly Gulati,32,M,A2
336,140,Patrick Majumdar,18,F,A3
337,141,Theodore Contractor,29,M,A1
338,142,Manya Ramaswamy,57,F,A1
339,142,Thomas Loyal,29,M,A2
340,142,Samesh Garg,21,M,A3
341,143,Yahvi Sood,32,T,A1
342,143,William Garde,50,F,A2
343,143,Ekaraj Ganesan,62,M,A3
344,143,Gaurangi Shah,46,T,A4
345,144,Aishani Bose,53,T,A1
346,145,Urmi Choudhary,48,M,A1
347,145,Anay Mannan,31,T,A2
348,145,Yahvi Ganesh,38,T,A3
349,145,Girindra Chaudhry,51,F,A4
350,146,Agastya Pandit,51,F,A1
351,146,Gauri Vasa,27,M,A2
352,147,Azaan Konda,48,T,A1
353,147,Jagvi Jhaveri,53,F,A2
354,147,Rishi Purohit,16,F,A3
355,147,Anusha Sengupta,45,M,A4
356,148,Zinal Oza,38,T,A1
357,148,Rachita Sha,25,M,A2
358,149,Nicholas Mitter,58,M,A1
359,149,Bhavya Bhattacharyya,18,F,A2
360,149,Alexander Setty,40,M,A3
361,150,Abdul Sani,48,T,A1
362,150,Aadi Bedi,23,T,A2
363,150,Lakshit Palla,39,T,A3
364,151,Isha Kothari,65,T,A1
365,151,Pahal Rastogi,23,T,A2
366,151,Advika Mittal,43,T,A3
367,152,Krishna Saha,52,T,A1
368,152,Charvi Mody,49,M,A2
369,152,Chameli Shenoy,57,M,A3
370,153,Dhriti Thakur,38,T,A1
371,154,Chasmum Kibe,56,M,A1
372,154,Joshua Memon,56,T,A2
373,154,Maya Dass,64,F,A3
374,155,Garima Bhat,47,F,A1
375,155,Yasti Bera,22,T,A2
376,155,Zaitra Dhawan,18,F,A3
377,155,Laban Kapoor,64,T,A4
378,156,Yug Jayaraman,60,F,A1
379,156,Urvi Bakshi,50,F,A2
380,156,Mahika Bhakta,64,M,A3
381,157,Lucky Khosla,47,M,A1
382,157,Yasti Iyer,51,M,A2
383,157,Varsha Mann,51,T,A3
384,157,Harish Tailor,45,F,A4
385,158,Pavani Divan,16,F,A1
386,158,Bhanumati Shankar,26,M,A2
387,158,Lopa Apte,18,M,A3
388,158,Bahadurjit Saxena,41,M,A4
389,159,Nathan Parmar,19,M,A1
390,160,Tripti Dey,62,M,A1
391,160,Chavvi Ramesh,57,M,A2
392,160,Veda Puri,49,F,A3
393,160,Pranit Tripathi,26,F,A4
394,161,Gopal Cherian,36,F,A1
395,161,Vamakshi Naik,65,M,A2
396,162,David Krishna,16,F,A1
397,162,Baljiwan Bora,21,M,A2
398,162,Kavya Balan,34,F,A3
399,163,Saksham Edwin,26,T,A1
400,163,Rehaan Chadha,38,M,A2
401,163,Gopal Jani,61,F,A3
402,164,Ranveer Johal,28,F,A1
403,164,Xiti Pandey,34,T,A2
404,164,Lakshit Bhavsar,29,M,A3
405,164,Prisha Puri,37,M,A4
406,165,Vihaan Behl,27,F,A1
407,165,Arin Kapur,59,M,A2
408,165,Zayan Ramakrishnan,36,M,A3
409,165,Ekansh Dugar,23,F,A4
410,166,Mohini Bhandari,53,T,A1
411,166,Urishilla Lall,52,F,A2
412,167,Wakeeta Bora,40,F,A1
413,167,Hiral Bobal,63,T,A2
414,167,Faris Srinivas,65,T,A3
415,168,Christopher Bal,56,T,A1
416,168,Ladli Badami,44,M,A2
417,169,Lakshit D’Alia,64,F,A1
418,169,Jacob Pillai,50,M,A2
419,169,Rishi Oza,65,M,A3
420,170,Alexander Krish,56,T,A1
421,171,Mitali Srinivas,31,T,A1
422,172,Amara Nagar,21,M,A1
423,172,Chatura Pal,60,F,A2
424,172,Vedika Mammen,48,T,A3
425,172,Samar Devan,54,F,A4
426,173,Wahab Sarraf,41,T,A1
427,173,Ishaan Bail,55,M,A2
428,174,Darpan Mallick,36,T,A1
429,174,Warhi Bahl,29,F,A2
430,174,Leena Sawhney,50,T,A3
431,174,Udarsh Jha,35,F,A4
432,175,Radha Sane,52,M,A1
433,176,Nicholas Raj,22,F,A1
434,177,Zaid Merchant,61,M,A1
435,177,Megha Barad,54,M,A2
436,178,Sachi Shere,17,M,A1
437,179,Devansh Sastry,29,M,A1
438,179,Aarna Majumdar,27,F,A2
439,179,Warda Datta,21,F,A3
440,179,Owen Din,35,M,A4
441,180,Amol Pandit,28,F,A1
442,180,Wahab Palla,50,T,A2
443,180,Faras Tripathi,17,M,A3
444,181,Kamya Sagar,27,M,A1
445,181,Pooja Mandal,17,F,A2
446,182,Upma Menon,57,F,A1
447,183,Tanveer Radhakrishnan,21,T,A1
448,183,Mason Raj,45,T,A2
449,183,Faras Kapur,35,T,A3
450,183,Jairaj Wable,51,M,A4
451,184,Tamanna Murty,48,T,A1
452,185,Omya Karpe,30,F,A1
453,185,Yash Reddy,50,F,A2
454,185,Abha Mangat,48,F,A3
455,186,Warda Hora,31,F,A1
456,186,Sudiksha Aurora,63,T,A2
457,186,Jai Sahota,41,F,A3
458,186,Upma Chaudhuri,31,T,A4
459,187,Pahal Pandya,51,F,A1
460,188,Shivani Sarin,17,M,A1
461,188,Vansha Desai,56,F,A2
462,189,Patrick Trivedi,24,T,A1
463,189,Gunbir Kata,30,T,A2
464,190,Bhavika Naidu,55,M,A1
465,190,Eiravati Gokhale,65,T,A2
466,191,Hardik Palan,49,M,A1
467,191,Noah Dani,45,M,A2
468,192,Arya Dhaliwal,62,M,A1
469,192,Samuel Trivedi,35,T,A2
470,192,Ayaan Baral,27,M,A3
471,192,Abeer Suresh,44,F,A4
472,193,Wakeeta Lall,61,F,A1
473,193,Laksh Mallick,38,T,A2
474,193,Irya Brar,41,M,A3
475,193,Falan Narain,24,F,A4
476,194,Harish Verma,29,F,A1
477,194,Ranveer Banik,19,F,A2
478,194,Yatan Devan,62,F,A3
479,195,Rachit Taneja,49,M,A1
480,196,Sathvik Gokhale,18,M,A1
481,197,Pranit Mital,19,M,A1
482,198,Sanya Nanda,65,T,A1
483,199,Idika Rao,37,T,A1
484,199,Veda Suresh,26,T,A2
485,200,Mahika Sathe,32,F,A1
486,200,Mohini Lad,47,M,A2
487,200,Amrita Sunder,50,M,A3
488,200,Harinakshi Bath,47,F,A4
489,201,Anmol Bail,51,F,A1
490,201,Gautam Nath,45,F,A2
491,201,Dev Bawa,41,T,A3
492,201,Janaki Wason,46,M,A4
493,202,Kashvi Narula,55,T,A1
494,203,Brijesh Dugar,60,F,A1
495,203,Charvi Bajwa,41,T,A2
496,203,Yug Bandi,31,M,A3
497,203,Jatin Purohit,58,T,A4
498,204,Devika Naik,32,M,A1
499,204,Yauvani Bajaj,40,T,A2
500,204,Anusha Shanker,18,T,A3
501,205,Arya Subramanian,29,M,A1
502,206,Kashish Chokshi,18,F,A1
503,206,Udarsh Bakshi,42,F,A2
504,206,Vincent Sekhon,32,M,A3
505,207,Lohit Rau,27,M,A1
506,207,Viraj Bhargava,60,F,A2
507,208,Xalak Munshi,20,T,A1
508,208,Ekanta Shenoy,61,M,A2
509,208,Yoshita Bumb,31,T,A3
510,208,Pavani Brahmbhatt,32,M,A4
511,209,Rudra Sarma,52,T,A1
512,209,Balvan Samra,30,M,A2
513,209,Onkar Vohra,39,M,A3
514,209,Logan Sahota,22,F,A4
515,210,Lohit Mannan,18,F,A1
516,211,Omaja Gola,22,T,A1
517,211,Upma Bhavsar,54,M,A2
518,211,Devika Guha,63,T,A3
519,212,Inaya Kara,53,F,A1
520,212,Akshay Hans,32,T,A2
521,213,Harshil Kalita,50,T,A1
522,213,Pranav Lall,18,T,A2
523,213,Jonathan Vig,30,M,A3
524,214,Vaishnavi Acharya,31,F,A1
525,214,Faras Ben,26,T,A2
526,214,Yasti Sarraf,43,M,A3
527,215,Maya Purohit,20,F,A1
528,215,Urvi Pant,45,F,A2
529,216,Luke Sarkar,36,M,A1
530,216,Vrishti Krishna,58,T,A2
531,216,Radhika Pall,56,F,A3
532,216,Aryan Pau,32,F,A4
533,217,Praneel Anne,35,M,A1
534,218,Bahadurjit Maharaj,63,M,A1
535,218,Mitali Bassi,35,T,A2
536,219,Michael Goel,24,F,A1
537,219,Fitan Saini,27,M,A2
538,219,Daksh Sawhney,63,T,A3
539,219,Dipta Chatterjee,33,F,A4
540,220,Omaja Bhat,53,F,A1
541,220,Reyansh Thaker,27,T,A2
542,221,Oscar Aggarwal,57,M,A1
543,221,Anusha Panchal,17,T,A2
544,221,Harita Shukla,30,T,A3
545,222,Omkaar Anne,23,T,A1
546,222,Kavya Sharma,63,F,A2
547,222,Yatin Morar,19,F,A3
548,222,Kevin Mukherjee,43,M,A4
549,223,Anjali Iyengar,61,M,A1
550,223,Chakrika Lad,40,F,A2
551,224,Lekha Dugal,17,M,A1
552,224,Radha Palan,47,T,A2
553,224,Sarthak Oommen,55,T,A3
554,224,Gautam Varghese,28,M,A4
555,225,Kashish Purohit,49,F,A1
556,225,Ekantika Cheema,62,T,A2
557,226,Damini Gaba,34,M,A1
558,227,Kashvi Nazareth,49,T,A1
559,227,Nandini Mital,54,T,A2
560,227,Vivaan Tripathi,18,M,A3
561,228,Rushil Dewan,29,M,A1
562,228,Gauri Bhagat,41,F,A2
563,229,Sai Gera,40,F,A1
564,230,Nathaniel Padmanabhan,41,M,A1
565,230,Urishilla Ramesh,27,M,A2
566,230,Urmi Puri,64,M,A3
567,230,Xavier Char,41,M,A4
568,231,Tristan Gokhale,29,T,A1
569,232,Faras Karpe,54,T,A1
570,232,Xalak Guha,26,F,A2
571,232,Siddharth Mittal,30,T,A3
572,233,Bhavani Mukhopadhyay,65,T,A1
573,233,Vasana Banerjee,62,T,A2
574,233,Oviya Gola,25,T,A3
575,234,Naveen Nagar,45,M,A1
576,235,Shravya Thakkar,56,M,A1
577,236,Rudra Varma,54,M,A1
578,236,Radhika Bava,53,M,A2
579,236,Baghyawati Baral,25,M,A3
580,236,Vrishti Sharma,45,F,A4
581,237,Chaaya Parikh,60,F,A1
582,237,Anay Sekhon,48,T,A2
583,237,Chameli Banik,25,M,A3
584,237,Ishanvi Bansal,38,T,A4
585,238,Wakeeta Sankar,26,F,A1
586,238,Hemani Shanker,52,T,A2
587,239,Chasmum Sami,23,M,A1
588,239,Anthony Gour,32,T,A2
589,239,Fariq Sant,27,M,A3
590,240,Tanveer Sarkar,29,F,A1
591,241,Anjali Ahluwalia,19,T,A1
592,241,Sarthak Bahl,27,M,A2
593,242,Bhavna Sharma,49,F,A1
594,243,Max Shere,20,F,A1
595,243,Shivansh Walia,38,M,A2
596,244,Kala Modi,43,M,A1
597,244,Divya Seth,44,T,A2
598,244,Ayushman Dugal,50,F,A3
599,244,Indira Sankar,24,M,A4
600,245,Meghana Kamdar,36,F,A1
601,246,Indira Kalla,27,M,A1
602,246,Arya Nagarajan,50,M,A2
603,247,Ucchal Mangat,61,T,A1
604,247,Naksh Goel,29,M,A2
605,247,Bhavya Aggarwal,62,M,A3
606,247,Ucchal Gera,37,T,A4
607,248,Udarsh Devi,40,F,A1
608,248,Nilima Bajaj,22,M,A2
609,249,Neel Shankar,56,M,A1
610,249,Wriddhish Gill,21,F,A2
611,250,Samuel Shenoy,17,M,A1
612,250,Yash Sawhney,39,F,A2
613,250,Peter Shenoy,51,F,A3
614,251,Bachittar Ray,53,M,A1
615,252,Arjun Sarna,41,M,A1
616,252,Darpan Master,19,T,A2
617,253,Jeet Chawla,61,T,A1
618,254,Lucky Kibe,42,M,A1
619,255,Ganga Seshadri,38,T,A1
620,256,Nathan Mody,43,T,A1
621,256,Ria Menon,35,T,A2
622,256,Kabir Din,41,T,A3
623,256,Leena Kurian,29,F,A4
624,257,Januja Trivedi,31,M,A1
625,257,Vansha Garde,28,M,A2
626,257,Nachiket Thaker,60,T,A3
627,257,Kavya Radhakrishnan,54,T,A4
628,258,Udarsh Doctor,32,T,A1
629,259,Bachittar Rastogi,36,F,A1
630,259,Forum Tripathi,52,T,A2
631,259,Anika Warrior,54,T,A3
632,259,Daksh Sekhon,20,M,A4
633,260,Peter Baria,51,F,A1
634,260,Arunima Chand,19,M,A2
635,261,Guneet Yadav,24,F,A1
636,261,Eiravati Bora,52,M,A2
637,261,Vanya Dada,43,M,A3
638,261,Fiyaz Soni,16,M,A4
639,262,Niharika Madan,36,M,A1
640,262,Patrick Narasimhan,34,T,A2
641,262,Yoshita Mander,60,T,A3
642,263,Vinaya Ahuja,43,T,A1
643,263,Yashodhara Singhal,60,M,A2
644,263,Nihal Gola,24,M,A3
645,263,Rachana Modi,53,T,A4
646,264,Harshil Mital,41,F,A1
647,264,Mohammed Naik,45,T,A2
648,264,Rehaan Randhawa,52,T,A3
649,265,Amruta Karnik,16,M,A1
650,265,Urmi Mitter,42,F,A2
651,266,Christopher Rege,38,F,A1
652,266,Logan Shan,36,M,A2
653,266,Anirudh Jain,25,M,A3
654,266,Aahana Menon,32,F,A4
655,267,Tanveer Thakur,62,M,A1
656,267,Anusha Chhabra,50,T,A2
657,267,Xavier Dyal,63,T,A3
658,268,Anya Yogi,49,M,A1
659,268,Raksha Mane,35,F,A2
660,268,Urmi Desai,18,F,A3
661,269,Gaurang Sarma,37,T,A1
662,269,Falak Lad,33,T,A2
663,270,Janaki Nath,52,F,A1
664,271,Prisha Randhawa,40,F,A1
665,272,Vyanjana Mandal,31,M,A1
666,272,Ekalinga Borra,45,T,A2
667,273,Aradhana Shroff,20,T,A1
668,273,Max Narayanan,44,F,A2
669,273,Qabil Nori,47,F,A3
670,274,Aashi Kapoor,25,M,A1
671,275,Samuel Morar,40,T,A1
672,275,Harrison Bal,64,T,A2
673,275,Joshua Zachariah,18,M,A3
674,275,Ekapad Narang,19,F,A4
675,276,Ria Dasgupta,65,M,A1
676,277,Reva Rastogi,35,F,A1
677,278,Vrinda Parmar,56,F,A1
678,278,Ojasvi Halder,65,T,A2
679,279,Lajita Salvi,54,T,A1
680,279,Harish Pant,58,M,A2
681,280,Lohit Kothari,45,M,A1
682,281,Darsh Kadakia,26,M,A1
683,281,Kamya Sachdeva,48,T,A2
684,282,Damini Raval,28,M,A1
685,282,Alka Nagi,25,F,A2
686,283,Omkaar Dugar,59,T,A1
687,283,Alexander Palla,30,F,A2
688,284,Krish Acharya,65,F,A1
689,284,Vamakshi Singh,20,F,A2
690,285,Umang Butala,54,M,A1
691,285,Netra Mandal,17,M,A2
692,285,Zaid Kara,51,F,A3
693,286,Kavya Dhillon,25,F,A1
694,286,Lekha Bava,21,M,A2
